Round,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes,Source,URL,Wk,xG,xG.1
Group stage,Sat,1970-06-06,16:00,Uruguay uy,0–0,it Italy,29968,Cuauhtemoc (Neutral Site),Rudolf Gloeckner,Match Report,,1970 World Cup Scores & Fixtures,https://fbref.com/en/comps/1/1970/schedule/1970-World-Cup-Scores-and-Fixtures,,,
Group stage,Sat,1970-06-06,16:00,Soviet Union su,4–1,be Belgium,95261,Estadio Azteca (Neutral Site),Ruedi Scheurer,Match Report,,1970 World Cup Scores & Fixtures,https://fbref.com/en/comps/1/1970/schedule/1970-World-Cup-Scores-and-Fixtures,,,
Group stage,Sat,1970-06-06,16:00,Romania ro,2–1,cs Czechoslovakia,56818,Jalisco (Neutral Site),Diego De Leo,Match Report,,1970 World Cup Scores & Fixtures,https://fbref.com/en/comps/1/1970/schedule/1970-World-Cup-Scores-and-Fixtures,,,
Group stage,Sat,1970-06-06,16:00,Peru pe,3–0,ma Morocco,13537,Nou Camp - Estadio Leï¿½n (Neutral Site),Tofik Bakhramov,Match Report,,1970 World Cup Scores & Fixtures,https://fbref.com/en/comps/1/1970/schedule/1970-World-Cup-Scores-and-Fixtures,,,
Group stage,Sun,1970-06-07,12:00,Sweden se,1–1,il Israel,9624,Luis Dosal (Neutral Site),Seyoum Tarekegn,Match Report,,1970 World Cup Scores & Fixtures,https://fbref.com/en/comps/1/1970/schedule/1970-World-Cup-Scores-and-Fixtures,,,
Group stage,Sun,1970-06-07,12:00,Brazil br,1–0,eng England,66843,Jalisco (Neutral Site),Abraham Klein,Match Report,,1970 World Cup Scores & Fixtures,https://fbref.com/en/comps/1/1970/schedule/1970-World-Cup-Scores-and-Fixtures,,,
Group stage,Sun,1970-06-07,12:00,Mexico mx,4–0,sv El Salvador,103058,Estadio Azteca (Neutral Site),Aly Hussein Kandil,Match Report,,1970 World Cup Scores & Fixtures,https://fbref.com/en/comps/1/1970/schedule/1970-World-Cup-Scores-and-Fixtures,,,
Group stage,Sun,1970-06-07,12:00,West Germany de,5–2,bg Bulgaria,12710,Nou Camp - Estadio Leï¿½n (Neutral Site),Jose Maria Ortiz De Mendibil,Match Report,,1970 World Cup Scores & Fixtures,https://fbref.com/en/comps/1/1970/schedule/1970-World-Cup-Scores-and-Fixtures,,,
Group stage,Wed,1970-06-10,16:00,Sweden se,1–0,uy Uruguay,18163,Cuauhtemoc (Neutral Site),Henry Landauer,Match Report,,1970 World Cup Scores & Fixtures,https://fbref.com/en/comps/1/1970/schedule/1970-World-Cup-Scores-and-Fixtures,,,
Group stage,Wed,1970-06-10,16:00,West Germany de,3–1,pe Peru,17875,Nou Camp - Estadio Leï¿½n (Neutral Site),Abel Aguilar Elizalde,Match Report,,1970 World Cup Scores & Fixtures,https://fbref.com/en/comps/1/1970/schedule/1970-World-Cup-Scores-and-Fixtures,,,
Group stage,Wed,1970-06-10,16:00,Soviet Union su,2–0,sv El Salvador,89979,Estadio Azteca (Neutral Site),Rafael Hormazabal Diaz,Match Report,,1970 World Cup Scores & Fixtures,https://fbref.com/en/comps/1/1970/schedule/1970-World-Cup-Scores-and-Fixtures,,,
Group stage,Wed,1970-06-10,16:00,Brazil br,3–2,ro Romania,50804,Jalisco (Neutral Site),Ferdinand Marschall,Match Report,,1970 World Cup Scores & Fixtures,https://fbref.com/en/comps/1/1970/schedule/1970-World-Cup-Scores-and-Fixtures,,,
Group stage,Thu,1970-06-11,16:00,Bulgaria bg,1–1,ma Morocco,12299,Nou Camp - Estadio Leï¿½n (Neutral Site),Antonio Saldanha Ribeiro,Match Report,,1970 World Cup Scores & Fixtures,https://fbref.com/en/comps/1/1970/schedule/1970-World-Cup-Scores-and-Fixtures,,,
Group stage,Thu,1970-06-11,16:00,Italy it,0–0,il Israel,9890,Luis Dosal (Neutral Site),Ayrton Vieira De Moraes,Match Report,,1970 World Cup Scores & Fixtures,https://fbref.com/en/comps/1/1970/schedule/1970-World-Cup-Scores-and-Fixtures,,,
Group stage,Thu,1970-06-11,16:00,Mexico mx,1–0,be Belgium,108192,Estadio Azteca (Neutral Site),Norberto Angel Coerezza,Match Report,,1970 World Cup Scores & Fixtures,https://fbref.com/en/comps/1/1970/schedule/1970-World-Cup-Scores-and-Fixtures,,,
Group stage,Thu,1970-06-11,16:00,England eng,1–0,cs Czechoslovakia,49292,Jalisco (Neutral Site),Roger Machin,Match Report,,1970 World Cup Scores & Fixtures,https://fbref.com/en/comps/1/1970/schedule/1970-World-Cup-Scores-and-Fixtures,,,
Round,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes,1970 World Cup Scores & Fixtures,https://fbref.com/en/comps/1/1970/schedule/1970-World-Cup-Scores-and-Fixtures,,,
Quarter-finals,Sun,1970-06-14,12:00,Brazil br,4–2,pe Peru,54233,Jalisco (Neutral Site),Vital Loraux,Match Report,,1970 World Cup Scores & Fixtures,https://fbref.com/en/comps/1/1970/schedule/1970-World-Cup-Scores-and-Fixtures,,,
Quarter-finals,Sun,1970-06-14,12:00,West Germany de,3–2,eng England,23357,Nou Camp - Estadio Leï¿½n (Neutral Site),Norberto Angel Coerezza,Match Report,Required Extra Time,1970 World Cup Scores & Fixtures,https://fbref.com/en/comps/1/1970/schedule/1970-World-Cup-Scores-and-Fixtures,,,
Quarter-finals,Sun,1970-06-14,12:00,Italy it,4–1,mx Mexico,26851,Luis Dosal (Neutral Site),Ruedi Scheurer,Match Report,,1970 World Cup Scores & Fixtures,https://fbref.com/en/comps/1/1970/schedule/1970-World-Cup-Scores-and-Fixtures,,,
Quarter-finals,Sun,1970-06-14,12:00,Uruguay uy,1–0,su Soviet Union,26085,Estadio Azteca (Neutral Site),Laurens Van Ravens,Match Report,Required Extra Time,1970 World Cup Scores & Fixtures,https://fbref.com/en/comps/1/1970/schedule/1970-World-Cup-Scores-and-Fixtures,,,
Semi-finals,Wed,1970-06-17,16:00,Italy it,4–3,de West Germany,102444,Estadio Azteca (Neutral Site),Arturo Yamasaki Maldonado,Match Report,Required Extra Time,1970 World Cup Scores & Fixtures,https://fbref.com/en/comps/1/1970/schedule/1970-World-Cup-Scores-and-Fixtures,,,
Semi-finals,Wed,1970-06-17,16:00,Brazil br,3–1,uy Uruguay,51261,Jalisco (Neutral Site),Jose Maria Ortiz De Mendibil,Match Report,,1970 World Cup Scores & Fixtures,https://fbref.com/en/comps/1/1970/schedule/1970-World-Cup-Scores-and-Fixtures,,,
Third-place match,Sat,1970-06-20,16:00,West Germany de,1–0,uy Uruguay,104403,Estadio Azteca (Neutral Site),Antonio Sbardella,Match Report,,1970 World Cup Scores & Fixtures,https://fbref.com/en/comps/1/1970/schedule/1970-World-Cup-Scores-and-Fixtures,,,
Final,Sun,1970-06-21,12:00,Brazil br,4–1,it Italy,107412,Estadio Azteca (Neutral Site),Rudolf Gloeckner,Match Report,,1970 World Cup Scores & Fixtures,https://fbref.com/en/comps/1/1970/schedule/1970-World-Cup-Scores-and-Fixtures,,,
,Sun,1970-05-31,12:00,Mexico mx,0–0,su Soviet Union,107160,Estadio Azteca (Neutral Site),Kurt Tschenscher,Match Report,,1970 World Cup Scores & Fixtures,https://fbref.com/en/comps/1/1970/schedule/1970-World-Cup-Scores-and-Fixtures,,,
,Tue,1970-06-02,16:00,England eng,1–0,ro Romania,50560,Jalisco (Neutral Site),Vital Loraux,Match Report,,1970 World Cup Scores & Fixtures,https://fbref.com/en/comps/1/1970/schedule/1970-World-Cup-Scores-and-Fixtures,,,
,Tue,1970-06-02,16:00,Peru pe,3–2,bg Bulgaria,13765,Nou Camp - Estadio Leï¿½n (Neutral Site),Antonio Sbardella,Match Report,,1970 World Cup Scores & Fixtures,https://fbref.com/en/comps/1/1970/schedule/1970-World-Cup-Scores-and-Fixtures,,,
,Tue,1970-06-02,16:00,Uruguay uy,2–0,il Israel,20654,Cuauhtemoc (Neutral Site),Bob Davidson,Match Report,,1970 World Cup Scores & Fixtures,https://fbref.com/en/comps/1/1970/schedule/1970-World-Cup-Scores-and-Fixtures,,,
,Wed,1970-06-03,16:00,Belgium be,3–0,sv El Salvador,92205,Estadio Azteca (Neutral Site),Andrei Radulescu,Match Report,,1970 World Cup Scores & Fixtures,https://fbref.com/en/comps/1/1970/schedule/1970-World-Cup-Scores-and-Fixtures,,,
,Wed,1970-06-03,16:00,West Germany de,2–1,ma Morocco,12942,Nou Camp - Estadio Leï¿½n (Neutral Site),Laurens Van Ravens,Match Report,,1970 World Cup Scores & Fixtures,https://fbref.com/en/comps/1/1970/schedule/1970-World-Cup-Scores-and-Fixtures,,,
,Wed,1970-06-03,16:00,Italy it,1–0,se Sweden,13433,Luis Dosal (Neutral Site),John Taylor,Match Report,,1970 World Cup Scores & Fixtures,https://fbref.com/en/comps/1/1970/schedule/1970-World-Cup-Scores-and-Fixtures,,,
,Wed,1970-06-03,16:00,Brazil br,4–1,cs Czechoslovakia,52897,Jalisco (Neutral Site),Ramon Barreto Ruiz,Match Report,,1970 World Cup Scores & Fixtures,https://fbref.com/en/comps/1/1970/schedule/1970-World-Cup-Scores-and-Fixtures,,,
,Sat,1970-06-06,16:00,Romania ro,2–1,cs Czechoslovakia,56818,Jalisco (Neutral Site),Diego De Leo,Match Report,,1970 World Cup Scores & Fixtures,https://fbref.com/en/comps/1/1970/schedule/1970-World-Cup-Scores-and-Fixtures,,,
,Sat,1970-06-06,16:00,Uruguay uy,0–0,it Italy,29968,Cuauhtemoc (Neutral Site),Rudolf Gloeckner,Match Report,,1970 World Cup Scores & Fixtures,https://fbref.com/en/comps/1/1970/schedule/1970-World-Cup-Scores-and-Fixtures,,,
,Sat,1970-06-06,16:00,Soviet Union su,4–1,be Belgium,95261,Estadio Azteca (Neutral Site),Ruedi Scheurer,Match Report,,1970 World Cup Scores & Fixtures,https://fbref.com/en/comps/1/1970/schedule/1970-World-Cup-Scores-and-Fixtures,,,
,Sat,1970-06-06,16:00,Peru pe,3–0,ma Morocco,13537,Nou Camp - Estadio Leï¿½n (Neutral Site),Tofik Bakhramov,Match Report,,1970 World Cup Scores & Fixtures,https://fbref.com/en/comps/1/1970/schedule/1970-World-Cup-Scores-and-Fixtures,,,
,Sun,1970-06-07,12:00,Mexico mx,4–0,sv El Salvador,103058,Estadio Azteca (Neutral Site),Aly Hussein Kandil,Match Report,,1970 World Cup Scores & Fixtures,https://fbref.com/en/comps/1/1970/schedule/1970-World-Cup-Scores-and-Fixtures,,,
,Sun,1970-06-07,12:00,Brazil br,1–0,eng England,66843,Jalisco (Neutral Site),Abraham Klein,Match Report,,1970 World Cup Scores & Fixtures,https://fbref.com/en/comps/1/1970/schedule/1970-World-Cup-Scores-and-Fixtures,,,
,Sun,1970-06-07,12:00,West Germany de,5–2,bg Bulgaria,12710,Nou Camp - Estadio Leï¿½n (Neutral Site),Jose Maria Ortiz De Mendibil,Match Report,,1970 World Cup Scores & Fixtures,https://fbref.com/en/comps/1/1970/schedule/1970-World-Cup-Scores-and-Fixtures,,,
,Sun,1970-06-07,12:00,Sweden se,1–1,il Israel,9624,Luis Dosal (Neutral Site),Seyoum Tarekegn,Match Report,,1970 World Cup Scores & Fixtures,https://fbref.com/en/comps/1/1970/schedule/1970-World-Cup-Scores-and-Fixtures,,,
,Wed,1970-06-10,16:00,Soviet Union su,2–0,sv El Salvador,89979,Estadio Azteca (Neutral Site),Rafael Hormazabal Diaz,Match Report,,1970 World Cup Scores & Fixtures,https://fbref.com/en/comps/1/1970/schedule/1970-World-Cup-Scores-and-Fixtures,,,
,Wed,1970-06-10,16:00,Sweden se,1–0,uy Uruguay,18163,Cuauhtemoc (Neutral Site),Henry Landauer,Match Report,,1970 World Cup Scores & Fixtures,https://fbref.com/en/comps/1/1970/schedule/1970-World-Cup-Scores-and-Fixtures,,,
,Wed,1970-06-10,16:00,Brazil br,3–2,ro Romania,50804,Jalisco (Neutral Site),Ferdinand Marschall,Match Report,,1970 World Cup Scores & Fixtures,https://fbref.com/en/comps/1/1970/schedule/1970-World-Cup-Scores-and-Fixtures,,,
,Wed,1970-06-10,16:00,West Germany de,3–1,pe Peru,17875,Nou Camp - Estadio Leï¿½n (Neutral Site),Abel Aguilar Elizalde,Match Report,,1970 World Cup Scores & Fixtures,https://fbref.com/en/comps/1/1970/schedule/1970-World-Cup-Scores-and-Fixtures,,,
,Thu,1970-06-11,16:00,Bulgaria bg,1–1,ma Morocco,12299,Nou Camp - Estadio Leï¿½n (Neutral Site),Antonio Saldanha Ribeiro,Match Report,,1970 World Cup Scores & Fixtures,https://fbref.com/en/comps/1/1970/schedule/1970-World-Cup-Scores-and-Fixtures,,,
,Thu,1970-06-11,16:00,Mexico mx,1–0,be Belgium,108192,Estadio Azteca (Neutral Site),Norberto Angel Coerezza,Match Report,,1970 World Cup Scores & Fixtures,https://fbref.com/en/comps/1/1970/schedule/1970-World-Cup-Scores-and-Fixtures,,,
,Thu,1970-06-11,16:00,Italy it,0–0,il Israel,9890,Luis Dosal (Neutral Site),Ayrton Vieira De Moraes,Match Report,,1970 World Cup Scores & Fixtures,https://fbref.com/en/comps/1/1970/schedule/1970-World-Cup-Scores-and-Fixtures,,,
,Thu,1970-06-11,16:00,England eng,1–0,cs Czechoslovakia,49292,Jalisco (Neutral Site),Roger Machin,Match Report,,1970 World Cup Scores & Fixtures,https://fbref.com/en/comps/1/1970/schedule/1970-World-Cup-Scores-and-Fixtures,,,
Quarter-finals,Sun,1970-06-14,12:00,Brazil br,4–2,pe Peru,54233.0,Jalisco (Neutral Site),Vital Loraux,Match Report,,1970 World Cup Scores & Fixtures,https://fbref.com/en/comps/1/1970/schedule/1970-World-Cup-Scores-and-Fixtures,,,
Quarter-finals,Sun,1970-06-14,12:00,West Germany de,3–2,eng England,23357.0,Nou Camp - Estadio Leï¿½n (Neutral Site),Norberto Angel Coerezza,Match Report,Required Extra Time,1970 World Cup Scores & Fixtures,https://fbref.com/en/comps/1/1970/schedule/1970-World-Cup-Scores-and-Fixtures,,,
Quarter-finals,Sun,1970-06-14,12:00,Italy it,4–1,mx Mexico,26851.0,Luis Dosal (Neutral Site),Ruedi Scheurer,Match Report,,1970 World Cup Scores & Fixtures,https://fbref.com/en/comps/1/1970/schedule/1970-World-Cup-Scores-and-Fixtures,,,
Quarter-finals,Sun,1970-06-14,12:00,Uruguay uy,1–0,su Soviet Union,26085.0,Estadio Azteca (Neutral Site),Laurens Van Ravens,Match Report,Required Extra Time,1970 World Cup Scores & Fixtures,https://fbref.com/en/comps/1/1970/schedule/1970-World-Cup-Scores-and-Fixtures,,,
,,,,,,,,,,,,1970 World Cup Scores & Fixtures,https://fbref.com/en/comps/1/1970/schedule/1970-World-Cup-Scores-and-Fixtures,,,
Semi-finals,Wed,1970-06-17,16:00,Italy it,4–3,de West Germany,102444.0,Estadio Azteca (Neutral Site),Arturo Yamasaki Maldonado,Match Report,Required Extra Time,1970 World Cup Scores & Fixtures,https://fbref.com/en/comps/1/1970/schedule/1970-World-Cup-Scores-and-Fixtures,,,
Semi-finals,Wed,1970-06-17,16:00,Brazil br,3–1,uy Uruguay,51261.0,Jalisco (Neutral Site),Jose Maria Ortiz De Mendibil,Match Report,,1970 World Cup Scores & Fixtures,https://fbref.com/en/comps/1/1970/schedule/1970-World-Cup-Scores-and-Fixtures,,,
,,,,,,,,,,,,1970 World Cup Scores & Fixtures,https://fbref.com/en/comps/1/1970/schedule/1970-World-Cup-Scores-and-Fixtures,,,
Third-place match,Sat,1970-06-20,16:00,West Germany de,1–0,uy Uruguay,104403.0,Estadio Azteca (Neutral Site),Antonio Sbardella,Match Report,,1970 World Cup Scores & Fixtures,https://fbref.com/en/comps/1/1970/schedule/1970-World-Cup-Scores-and-Fixtures,,,
,,,,,,,,,,,,1970 World Cup Scores & Fixtures,https://fbref.com/en/comps/1/1970/schedule/1970-World-Cup-Scores-and-Fixtures,,,
Final,Sun,1970-06-21,12:00,Brazil br,4–1,it Italy,107412.0,Estadio Azteca (Neutral Site),Rudolf Gloeckner,Match Report,,1970 World Cup Scores & Fixtures,https://fbref.com/en/comps/1/1970/schedule/1970-World-Cup-Scores-and-Fixtures,,,
Group stage,Mon,1966-07-11,19:30,England eng,0–0,uy Uruguay,87148,Wembley Stadium (Neutral Site),Istvan Zsolt,Match Report,,1966 World Cup Scores & Fixtures,https://fbref.com/en/comps/1/1966/schedule/1966-World-Cup-Scores-and-Fixtures,,,
Group stage,Tue,1966-07-12,19:30,Brazil br,2–0,bg Bulgaria,47308,Goodison Park (Neutral Site),Kurt Tschenscher,Match Report,,1966 World Cup Scores & Fixtures,https://fbref.com/en/comps/1/1966/schedule/1966-World-Cup-Scores-and-Fixtures,,,
Group stage,Tue,1966-07-12,19:30,Soviet Union su,3–0,kp Korea DPR,23006,Ayresome Park (Neutral Site),Juan Gardeazabal,Match Report,,1966 World Cup Scores & Fixtures,https://fbref.com/en/comps/1/1966/schedule/1966-World-Cup-Scores-and-Fixtures,,,
Group stage,Tue,1966-07-12,19:30,West Germany de,5–0,ch Switzerland,36127,Hillsborough (Neutral Site),Hugh Phillips,Match Report,,1966 World Cup Scores & Fixtures,https://fbref.com/en/comps/1/1966/schedule/1966-World-Cup-Scores-and-Fixtures,,,
Group stage,Wed,1966-07-13,19:30,France fr,1–1,mx Mexico,69237,Wembley Stadium (Neutral Site),Menachem Ashkenazi,Match Report,,1966 World Cup Scores & Fixtures,https://fbref.com/en/comps/1/1966/schedule/1966-World-Cup-Scores-and-Fixtures,,,
Group stage,Wed,1966-07-13,19:30,Italy it,2–0,cl Chile,27199,Roker Park Ground (Neutral Site),Gottfried Dienst,Match Report,,1966 World Cup Scores & Fixtures,https://fbref.com/en/comps/1/1966/schedule/1966-World-Cup-Scores-and-Fixtures,,,
Group stage,Wed,1966-07-13,19:30,Portugal pt,3–1,hu Hungary,29886,Old Trafford Stadium (Neutral Site),Leo Callaghan,Match Report,,1966 World Cup Scores & Fixtures,https://fbref.com/en/comps/1/1966/schedule/1966-World-Cup-Scores-and-Fixtures,,,
Group stage,Wed,1966-07-13,19:30,Argentina ar,2–1,es Spain,42738,Villa Park (Neutral Site),Dimitar Rumentchev,Match Report,,1966 World Cup Scores & Fixtures,https://fbref.com/en/comps/1/1966/schedule/1966-World-Cup-Scores-and-Fixtures,,,
Group stage,Fri,1966-07-15,19:30,Korea DPR kp,1–1,cl Chile,13792,Ayresome Park (Neutral Site),Aly Hussein Kandil,Match Report,,1966 World Cup Scores & Fixtures,https://fbref.com/en/comps/1/1966/schedule/1966-World-Cup-Scores-and-Fixtures,,,
Group stage,Fri,1966-07-15,19:30,Spain es,2–1,ch Switzerland,32028,Hillsborough (Neutral Site),Tofik Bakhramov,Match Report,,1966 World Cup Scores & Fixtures,https://fbref.com/en/comps/1/1966/schedule/1966-World-Cup-Scores-and-Fixtures,,,
Group stage,Fri,1966-07-15,19:30,Uruguay uy,2–1,fr France,45662,White City (Neutral Site),Karol Galba,Match Report,,1966 World Cup Scores & Fixtures,https://fbref.com/en/comps/1/1966/schedule/1966-World-Cup-Scores-and-Fixtures,,,
Group stage,Fri,1966-07-15,19:30,Hungary hu,3–1,br Brazil,51387,Goodison Park (Neutral Site),Kenneth Dagnall,Match Report,,1966 World Cup Scores & Fixtures,https://fbref.com/en/comps/1/1966/schedule/1966-World-Cup-Scores-and-Fixtures,,,
Group stage,Sat,1966-07-16,15:00,West Germany de,0–0,ar Argentina,46587,Villa Park (Neutral Site),Konstantin Zecevic,Match Report,,1966 World Cup Scores & Fixtures,https://fbref.com/en/comps/1/1966/schedule/1966-World-Cup-Scores-and-Fixtures,,,
Group stage,Sat,1966-07-16,15:00,Soviet Union su,1–0,it Italy,27793,Roker Park Ground (Neutral Site),Rudolf Kreitlein,Match Report,,1966 World Cup Scores & Fixtures,https://fbref.com/en/comps/1/1966/schedule/1966-World-Cup-Scores-and-Fixtures,,,
Group stage,Sat,1966-07-16,15:00,Portugal pt,3–0,bg Bulgaria,25438,Old Trafford Stadium (Neutral Site),Jose Maria Codesal,Match Report,,1966 World Cup Scores & Fixtures,https://fbref.com/en/comps/1/1966/schedule/1966-World-Cup-Scores-and-Fixtures,,,
Group stage,Sat,1966-07-16,19:30,England eng,2–0,mx Mexico,92570,Wembley Stadium (Neutral Site),Concetto Lo Bello,Match Report,,1966 World Cup Scores & Fixtures,https://fbref.com/en/comps/1/1966/schedule/1966-World-Cup-Scores-and-Fixtures,,,
Group stage,Tue,1966-07-19,16:30,Uruguay uy,0–0,mx Mexico,61112,Wembley Stadium (Neutral Site),Bertil Loeoew,Match Report,,1966 World Cup Scores & Fixtures,https://fbref.com/en/comps/1/1966/schedule/1966-World-Cup-Scores-and-Fixtures,,,
Group stage,Tue,1966-07-19,19:30,Portugal pt,3–1,br Brazil,58479,Goodison Park (Neutral Site),George Mccabe,Match Report,,1966 World Cup Scores & Fixtures,https://fbref.com/en/comps/1/1966/schedule/1966-World-Cup-Scores-and-Fixtures,,,
Group stage,Tue,1966-07-19,19:30,Korea DPR kp,1–0,it Italy,17829,Ayresome Park (Neutral Site),Pierre Schwinte,Match Report,,1966 World Cup Scores & Fixtures,https://fbref.com/en/comps/1/1966/schedule/1966-World-Cup-Scores-and-Fixtures,,,
Group stage,Tue,1966-07-19,19:30,Argentina ar,2–0,ch Switzerland,32127,Hillsborough (Neutral Site),Joaquim Fernandes Campos,Match Report,,1966 World Cup Scores & Fixtures,https://fbref.com/en/comps/1/1966/schedule/1966-World-Cup-Scores-and-Fixtures,,,
Group stage,Wed,1966-07-20,19:30,Soviet Union su,2–1,cl Chile,16027,Roker Park Ground (Neutral Site),John Adair,Match Report,,1966 World Cup Scores & Fixtures,https://fbref.com/en/comps/1/1966/schedule/1966-World-Cup-Scores-and-Fixtures,,,
Group stage,Wed,1966-07-20,19:30,England eng,2–0,fr France,98270,Wembley Stadium (Neutral Site),Arturo Yamasaki Maldonado,Match Report,,1966 World Cup Scores & Fixtures,https://fbref.com/en/comps/1/1966/schedule/1966-World-Cup-Scores-and-Fixtures,,,
Group stage,Wed,1966-07-20,19:30,Hungary hu,3–1,bg Bulgaria,24129,Old Trafford Stadium (Neutral Site),Roberto Goicoechea,Match Report,,1966 World Cup Scores & Fixtures,https://fbref.com/en/comps/1/1966/schedule/1966-World-Cup-Scores-and-Fixtures,,,
Group stage,Wed,1966-07-20,19:30,West Germany de,2–1,es Spain,42187,Villa Park (Neutral Site),Armando Marques,Match Report,,1966 World Cup Scores & Fixtures,https://fbref.com/en/comps/1/1966/schedule/1966-World-Cup-Scores-and-Fixtures,,,
Round,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes,1966 World Cup Scores & Fixtures,https://fbref.com/en/comps/1/1966/schedule/1966-World-Cup-Scores-and-Fixtures,,,
Quarter-finals,Sat,1966-07-23,15:00,Portugal pt,5–3,kp Korea DPR,40248,Goodison Park (Neutral Site),Menachem Ashkenazi,Match Report,,1966 World Cup Scores & Fixtures,https://fbref.com/en/comps/1/1966/schedule/1966-World-Cup-Scores-and-Fixtures,,,
Quarter-finals,Sat,1966-07-23,15:00,England eng,1–0,ar Argentina,90584,Wembley Stadium (Neutral Site),Rudolf Kreitlein,Match Report,,1966 World Cup Scores & Fixtures,https://fbref.com/en/comps/1/1966/schedule/1966-World-Cup-Scores-and-Fixtures,,,
Quarter-finals,Sat,1966-07-23,15:00,West Germany de,4–0,uy Uruguay,40007,Hillsborough (Neutral Site),Jim Finney,Match Report,,1966 World Cup Scores & Fixtures,https://fbref.com/en/comps/1/1966/schedule/1966-World-Cup-Scores-and-Fixtures,,,
Quarter-finals,Sat,1966-07-23,15:00,Soviet Union su,2–1,hu Hungary,26844,Roker Park Ground (Neutral Site),Juan Gardeazabal,Match Report,,1966 World Cup Scores & Fixtures,https://fbref.com/en/comps/1/1966/schedule/1966-World-Cup-Scores-and-Fixtures,,,
Semi-finals,Mon,1966-07-25,19:30,West Germany de,2–1,su Soviet Union,38273,Goodison Park (Neutral Site),Concetto Lo Bello,Match Report,,1966 World Cup Scores & Fixtures,https://fbref.com/en/comps/1/1966/schedule/1966-World-Cup-Scores-and-Fixtures,,,
Semi-finals,Tue,1966-07-26,19:30,England eng,2–1,pt Portugal,94493,Wembley Stadium (Neutral Site),Pierre Schwinte,Match Report,,1966 World Cup Scores & Fixtures,https://fbref.com/en/comps/1/1966/schedule/1966-World-Cup-Scores-and-Fixtures,,,
Third-place match,Thu,1966-07-28,19:30,Portugal pt,2–1,su Soviet Union,87696,Wembley Stadium (Neutral Site),Kenneth Dagnall,Match Report,,1966 World Cup Scores & Fixtures,https://fbref.com/en/comps/1/1966/schedule/1966-World-Cup-Scores-and-Fixtures,,,
Final,Sat,1966-07-30,15:00,England eng,4–2,de West Germany,96924,Wembley Stadium (Neutral Site),Gottfried Dienst,Match Report,Required Extra Time,1966 World Cup Scores & Fixtures,https://fbref.com/en/comps/1/1966/schedule/1966-World-Cup-Scores-and-Fixtures,,,
,Mon,1966-07-11,19:30,England eng,0–0,uy Uruguay,87148,Wembley Stadium (Neutral Site),Istvan Zsolt,Match Report,,1966 World Cup Scores & Fixtures,https://fbref.com/en/comps/1/1966/schedule/1966-World-Cup-Scores-and-Fixtures,,,
,Tue,1966-07-12,19:30,West Germany de,5–0,ch Switzerland,36127,Hillsborough (Neutral Site),Hugh Phillips,Match Report,,1966 World Cup Scores & Fixtures,https://fbref.com/en/comps/1/1966/schedule/1966-World-Cup-Scores-and-Fixtures,,,
,Tue,1966-07-12,19:30,Soviet Union su,3–0,kp Korea DPR,23006,Ayresome Park (Neutral Site),Juan Gardeazabal,Match Report,,1966 World Cup Scores & Fixtures,https://fbref.com/en/comps/1/1966/schedule/1966-World-Cup-Scores-and-Fixtures,,,
,Tue,1966-07-12,19:30,Brazil br,2–0,bg Bulgaria,47308,Goodison Park (Neutral Site),Kurt Tschenscher,Match Report,,1966 World Cup Scores & Fixtures,https://fbref.com/en/comps/1/1966/schedule/1966-World-Cup-Scores-and-Fixtures,,,
,Wed,1966-07-13,19:30,Argentina ar,2–1,es Spain,42738,Villa Park (Neutral Site),Dimitar Rumentchev,Match Report,,1966 World Cup Scores & Fixtures,https://fbref.com/en/comps/1/1966/schedule/1966-World-Cup-Scores-and-Fixtures,,,
,Wed,1966-07-13,19:30,France fr,1–1,mx Mexico,69237,Wembley Stadium (Neutral Site),Menachem Ashkenazi,Match Report,,1966 World Cup Scores & Fixtures,https://fbref.com/en/comps/1/1966/schedule/1966-World-Cup-Scores-and-Fixtures,,,
,Wed,1966-07-13,19:30,Portugal pt,3–1,hu Hungary,29886,Old Trafford Stadium (Neutral Site),Leo Callaghan,Match Report,,1966 World Cup Scores & Fixtures,https://fbref.com/en/comps/1/1966/schedule/1966-World-Cup-Scores-and-Fixtures,,,
,Wed,1966-07-13,19:30,Italy it,2–0,cl Chile,27199,Roker Park Ground (Neutral Site),Gottfried Dienst,Match Report,,1966 World Cup Scores & Fixtures,https://fbref.com/en/comps/1/1966/schedule/1966-World-Cup-Scores-and-Fixtures,,,
,Fri,1966-07-15,19:30,Hungary hu,3–1,br Brazil,51387,Goodison Park (Neutral Site),Kenneth Dagnall,Match Report,,1966 World Cup Scores & Fixtures,https://fbref.com/en/comps/1/1966/schedule/1966-World-Cup-Scores-and-Fixtures,,,
,Fri,1966-07-15,19:30,Uruguay uy,2–1,fr France,45662,White City (Neutral Site),Karol Galba,Match Report,,1966 World Cup Scores & Fixtures,https://fbref.com/en/comps/1/1966/schedule/1966-World-Cup-Scores-and-Fixtures,,,
,Fri,1966-07-15,19:30,Spain es,2–1,ch Switzerland,32028,Hillsborough (Neutral Site),Tofik Bakhramov,Match Report,,1966 World Cup Scores & Fixtures,https://fbref.com/en/comps/1/1966/schedule/1966-World-Cup-Scores-and-Fixtures,,,
