home_team,away_team,home_goals,away_goals,result,season,home_avg_goals_scored,home_avg_goals_conceded,home_wins,home_draws,home_losses,home_matches_played,home_win_rate,away_avg_goals_scored,away_avg_goals_conceded,away_wins,away_draws,away_losses,away_matches_played,away_win_rate
Dortmund,Gladbach,0,0,draw,1988-1989,0.5,1.25,0,2,2,4,0.0,2.5,2.25,2,0,2,4,0.5
Köln,Karlsruher,6,1,win,1988-1989,1.0,0.5,2,1,1,4,0.5,2.75,1.5,3,1,0,4,0.75
Gladbach,Hannover 96,2,0,win,1988-1989,2.0,1.8,2,1,2,5,0.4,1.4,2.0,0,2,3,5,0.0
Hamburger SV,St Pauli,1,1,draw,1988-1989,0.8,1.4,1,1,3,5,0.2,1.0,1.0,2,1,2,5,0.4
Kaiserslautern,S'gart Kickers,6,0,win,1988-1989,0.6,2.0,0,3,2,5,0.0,1.2,2.0,2,0,3,5,0.4
Eint Frankfurt,Nürnberg,1,0,win,1988-1989,0.6,2.2,1,0,4,5,0.2,1.4,1.2,3,0,2,5,0.6
Leverkusen,Bayern Munich,1,1,draw,1988-1989,1.8,1.4,2,2,1,5,0.4,2.75,0.75,3,1,0,4,0.75
Stuttgart,Köln,2,0,win,1988-1989,2.25,1.0,3,0,1,4,0.75,2.0,0.6,3,1,1,5,0.6
Karlsruher,Uerdingen,0,1,loss,1988-1989,2.4,2.4,3,1,1,5,0.6,1.8,1.0,2,3,0,5,0.4
Bochum,Mannheim,2,2,draw,1988-1989,0.8,1.2,1,2,2,5,0.2,1.2,0.8,1,3,1,5,0.2
St Pauli,Kaiserslautern,1,1,draw,1988-1989,1.0,1.0,2,2,2,6,0.3333333333333333,1.5,1.6666666666666667,1,3,2,6,0.16666666666666666
Hannover 96,Werder Bremen,2,2,draw,1988-1989,1.1666666666666667,2.0,0,2,4,6,0.0,1.4,1.4,2,2,1,5,0.4
Bochum,Eint Frankfurt,1,0,win,1988-1989,1.0,1.3333333333333333,1,3,2,6,0.16666666666666666,0.6666666666666666,1.8333333333333333,2,0,4,6,0.3333333333333333
S'gart Kickers,Leverkusen,1,3,loss,1988-1989,1.0,2.6666666666666665,2,0,4,6,0.3333333333333333,1.6666666666666667,1.3333333333333333,2,3,1,6,0.3333333333333333
Bayern Munich,Gladbach,3,0,win,1988-1989,2.4,0.8,3,2,0,5,0.6,2.0,1.5,3,1,2,6,0.5
Uerdingen,Stuttgart,0,0,draw,1988-1989,1.6666666666666667,0.8333333333333334,3,3,0,6,0.5,2.2,0.8,4,0,1,5,0.8
Mannheim,Dortmund,0,3,loss,1988-1989,1.3333333333333333,1.0,1,4,1,6,0.16666666666666666,0.4,1.0,0,3,2,5,0.0
Nürnberg,Karlsruher,1,3,loss,1988-1989,1.1666666666666667,1.1666666666666667,3,0,3,6,0.5,2.0,2.1666666666666665,3,1,2,6,0.5
Köln,Hamburger SV,1,2,loss,1988-1989,1.6666666666666667,0.8333333333333334,3,1,2,6,0.5,0.8333333333333334,1.3333333333333333,1,2,3,6,0.16666666666666666
Eint Frankfurt,Mannheim,0,0,draw,1988-1989,0.5714285714285714,1.7142857142857142,2,0,5,7,0.2857142857142857,1.1428571428571428,1.2857142857142858,1,4,2,7,0.14285714285714285
Gladbach,S'gart Kickers,1,1,draw,1988-1989,1.7142857142857142,1.7142857142857142,3,1,3,7,0.42857142857142855,1.0,2.7142857142857144,2,0,5,7,0.2857142857142857
Stuttgart,Nürnberg,4,0,win,1988-1989,1.8333333333333333,0.6666666666666666,4,1,1,6,0.6666666666666666,1.1428571428571428,1.4285714285714286,3,0,4,7,0.42857142857142855
Karlsruher,Bochum,1,3,loss,1988-1989,2.142857142857143,2.0,4,1,2,7,0.5714285714285714,1.0,1.1428571428571428,2,3,2,7,0.2857142857142857
