home_team,away_team,home_goals,away_goals,result,season,home_avg_goals_scored,home_avg_goals_conceded,home_wins,home_draws,home_losses,home_matches_played,home_win_rate,away_avg_goals_scored,away_avg_goals_conceded,away_wins,away_draws,away_losses,away_matches_played,away_win_rate
Gladbach,Kaiserslautern,3,1,win,1989-1990,1.1176470588235294,1.3333333333333333,15,19,17,51,0.29411764705882354,1.3529411764705883,1.4705882352941178,13,20,18,51,0.2549019607843137
Werder Bremen,St Pauli,2,1,win,1989-1990,1.5686274509803921,0.9607843137254902,23,16,12,51,0.45098039215686275,1.0392156862745099,1.2745098039215685,12,22,17,51,0.23529411764705882
Homburg,Uerdingen,1,2,loss,1989-1990,1.0,1.3529411764705883,5,4,8,17,0.29411764705882354,1.4509803921568627,1.6666666666666667,15,15,21,51,0.29411764705882354
Mannheim,Eint Frankfurt,1,1,draw,1989-1990,1.2941176470588236,1.5098039215686274,17,13,21,51,0.3333333333333333,1.2549019607843137,1.4705882352941178,17,14,20,51,0.3333333333333333
Karlsruher,Stuttgart,1,0,win,1989-1990,1.2352941176470589,1.4705882352941178,16,15,20,51,0.3137254901960784,1.6862745098039216,1.392156862745098,25,10,16,51,0.49019607843137253
Hamburger SV,Düsseldorf,1,0,win,1989-1990,1.5686274509803921,1.196078431372549,23,12,16,51,0.45098039215686275,1.3529411764705883,1.6470588235294117,3,7,7,17,0.17647058823529413
Köln,Bochum,2,0,win,1989-1990,1.7058823529411764,1.0392156862745099,27,14,10,51,0.5294117647058824,1.1176470588235294,1.6862745098039216,15,11,25,51,0.29411764705882354
St Pauli,Dortmund,2,1,win,1989-1990,1.0384615384615385,1.2884615384615385,12,22,18,52,0.23076923076923078,1.4807692307692308,1.1153846153846154,19,18,15,52,0.36538461538461536
Bochum,Mannheim,2,0,win,1989-1990,1.0961538461538463,1.6923076923076923,15,11,26,52,0.28846153846153844,1.2884615384615385,1.5,17,14,21,52,0.3269230769230769
Leverkusen,Nürnberg,2,0,win,1989-1990,1.3269230769230769,1.0961538461538463,17,24,11,52,0.3269230769230769,1.25,1.4230769230769231,15,16,21,52,0.28846153846153844
Kaiserslautern,Homburg,3,1,win,1989-1990,1.3461538461538463,1.5,13,20,19,52,0.25,1.0,1.3888888888888888,5,4,9,18,0.2777777777777778
Düsseldorf,Werder Bremen,2,1,win,1989-1990,1.2777777777777777,1.6111111111111112,3,7,8,18,0.16666666666666666,1.5769230769230769,0.9615384615384616,24,16,12,52,0.46153846153846156
Stuttgart,Köln,3,1,win,1989-1990,1.6538461538461537,1.3846153846153846,25,10,17,52,0.4807692307692308,1.7115384615384615,1.0192307692307692,28,14,10,52,0.5384615384615384
Eint Frankfurt,Hamburger SV,2,0,win,1989-1990,1.25,1.4615384615384615,17,15,20,52,0.3269230769230769,1.5576923076923077,1.1730769230769231,24,12,16,52,0.46153846153846156
Uerdingen,Karlsruher,1,0,win,1989-1990,1.4615384615384615,1.6538461538461537,16,15,21,52,0.3076923076923077,1.2307692307692308,1.4423076923076923,17,15,20,52,0.3269230769230769
Bayern Munich,Gladbach,2,0,win,1989-1990,1.9423076923076923,0.8846153846153846,28,17,7,52,0.5384615384615384,1.1538461538461537,1.3269230769230769,16,19,17,52,0.3076923076923077
Gladbach,Leverkusen,1,1,draw,1989-1990,1.1320754716981132,1.3396226415094339,16,19,18,53,0.3018867924528302,1.3396226415094339,1.0754716981132075,18,24,11,53,0.33962264150943394
Nürnberg,St Pauli,0,1,loss,1989-1990,1.2264150943396226,1.4339622641509433,15,16,22,53,0.2830188679245283,1.0566037735849056,1.2830188679245282,13,22,18,53,0.24528301886792453
Mannheim,Stuttgart,2,1,win,1989-1990,1.2641509433962264,1.509433962264151,17,14,22,53,0.32075471698113206,1.679245283018868,1.3773584905660377,26,10,17,53,0.49056603773584906
Eint Frankfurt,Düsseldorf,2,0,win,1989-1990,1.2641509433962264,1.4339622641509433,18,15,20,53,0.33962264150943394,1.3157894736842106,1.5789473684210527,4,7,8,19,0.21052631578947367
Karlsruher,Kaiserslautern,0,0,draw,1989-1990,1.2075471698113207,1.4339622641509433,17,15,21,53,0.32075471698113206,1.3773584905660377,1.490566037735849,14,20,19,53,0.2641509433962264
Köln,Uerdingen,0,1,loss,1989-1990,1.6981132075471699,1.0566037735849056,28,14,11,53,0.5283018867924528,1.4528301886792452,1.6226415094339623,17,15,21,53,0.32075471698113206
Dortmund,Werder Bremen,4,1,win,1989-1990,1.471698113207547,1.1320754716981132,19,18,16,53,0.3584905660377358,1.5660377358490567,0.9811320754716981,24,16,13,53,0.4528301886792453
Hamburger SV,Bochum,1,4,loss,1989-1990,1.528301886792453,1.1886792452830188,24,12,17,53,0.4528301886792453,1.1132075471698113,1.6603773584905661,16,11,26,53,0.3018867924528302
Homburg,Bayern Munich,1,3,loss,1989-1990,1.0,1.4736842105263157,5,4,10,19,0.2631578947368421,1.9433962264150944,0.8679245283018868,29,17,7,53,0.5471698113207547
Bochum,Eint Frankfurt,2,2,draw,1989-1990,1.1666666666666667,1.6481481481481481,17,11,26,54,0.3148148148148148,1.2777777777777777,1.4074074074074074,19,15,20,54,0.35185185185185186
Düsseldorf,Dortmund,1,1,draw,1989-1990,1.25,1.6,4,7,9,20,0.2,1.5185185185185186,1.1296296296296295,20,18,16,54,0.37037037037037035
Stuttgart,Hamburger SV,3,0,win,1989-1990,1.6666666666666667,1.3888888888888888,26,10,18,54,0.48148148148148145,1.5185185185185186,1.2407407407407407,24,12,18,54,0.4444444444444444
St Pauli,Gladbach,2,1,win,1989-1990,1.0555555555555556,1.2592592592592593,14,22,18,54,0.25925925925925924,1.1296296296296295,1.3333333333333333,16,20,18,54,0.2962962962962963
Kaiserslautern,Köln,1,2,loss,1989-1990,1.3518518518518519,1.462962962962963,14,21,19,54,0.25925925925925924,1.6666666666666667,1.0555555555555556,28,14,12,54,0.5185185185185185
Werder Bremen,Nürnberg,4,0,win,1989-1990,1.5555555555555556,1.037037037037037,24,16,14,54,0.4444444444444444,1.2037037037037037,1.4259259259259258,15,16,23,54,0.2777777777777778
Bayern Munich,Karlsruher,4,1,win,1989-1990,1.962962962962963,0.8703703703703703,30,17,7,54,0.5555555555555556,1.1851851851851851,1.4074074074074074,17,16,21,54,0.3148148148148148
Uerdingen,Mannheim,0,2,loss,1989-1990,1.4444444444444444,1.5925925925925926,18,15,21,54,0.3333333333333333,1.2777777777777777,1.5,18,14,22,54,0.3333333333333333
Leverkusen,Homburg,3,1,win,1989-1990,1.3333333333333333,1.0740740740740742,18,25,11,54,0.3333333333333333,1.0,1.55,5,4,11,20,0.25
Köln,Bayern Munich,1,1,draw,1989-1990,1.6727272727272726,1.0545454545454545,29,14,12,55,0.5272727272727272,2.0,0.8727272727272727,31,17,7,55,0.5636363636363636
Homburg,St Pauli,0,2,loss,1989-1990,1.0,1.619047619047619,5,4,12,21,0.23809523809523808,1.0727272727272728,1.2545454545454546,15,22,18,55,0.2727272727272727
Karlsruher,Leverkusen,2,1,win,1989-1990,1.1818181818181819,1.4545454545454546,17,16,22,55,0.3090909090909091,1.3636363636363635,1.0727272727272728,19,25,11,55,0.34545454545454546
Mannheim,Kaiserslautern,4,0,win,1989-1990,1.290909090909091,1.4727272727272727,19,14,22,55,0.34545454545454546,1.3454545454545455,1.4727272727272727,14,21,20,55,0.2545454545454545
Gladbach,Werder Bremen,4,0,win,1989-1990,1.1272727272727272,1.3454545454545455,16,20,19,55,0.2909090909090909,1.6,1.018181818181818,25,16,14,55,0.45454545454545453
Hamburger SV,Uerdingen,6,0,win,1989-1990,1.490909090909091,1.2727272727272727,24,12,19,55,0.43636363636363634,1.4181818181818182,1.6,18,15,22,55,0.32727272727272727
Bochum,Düsseldorf,1,2,loss,1989-1990,1.1818181818181819,1.6545454545454545,17,12,26,55,0.3090909090909091,1.2380952380952381,1.5714285714285714,4,8,9,21,0.19047619047619047
Eint Frankfurt,Stuttgart,5,1,win,1989-1990,1.290909090909091,1.4181818181818182,19,16,20,55,0.34545454545454546,1.690909090909091,1.3636363636363635,27,10,18,55,0.4909090909090909
St Pauli,Karlsruher,1,1,draw,1989-1990,1.0892857142857142,1.2321428571428572,16,22,18,56,0.2857142857142857,1.1964285714285714,1.4464285714285714,18,16,22,56,0.32142857142857145
Werder Bremen,Homburg,0,0,draw,1989-1990,1.5714285714285714,1.0714285714285714,25,16,15,56,0.44642857142857145,0.9545454545454546,1.6363636363636365,5,4,13,22,0.22727272727272727
Dortmund,Gladbach,3,0,win,1989-1990,1.509090909090909,1.1272727272727272,20,19,16,55,0.36363636363636365,1.1785714285714286,1.3214285714285714,17,20,19,56,0.30357142857142855
Bayern Munich,Mannheim,2,0,win,1989-1990,1.9821428571428572,0.875,31,18,7,56,0.5535714285714286,1.3392857142857142,1.4464285714285714,20,14,22,56,0.35714285714285715
Uerdingen,Eint Frankfurt,1,1,draw,1989-1990,1.3928571428571428,1.6785714285714286,18,15,23,56,0.32142857142857145,1.3571428571428572,1.4107142857142858,20,16,20,56,0.35714285714285715
Stuttgart,Bochum,1,0,win,1989-1990,1.6785714285714286,1.4285714285714286,27,10,19,56,0.48214285714285715,1.1785714285714286,1.6607142857142858,17,12,27,56,0.30357142857142855
Leverkusen,Köln,0,2,loss,1989-1990,1.3571428571428572,1.0892857142857142,19,25,12,56,0.3392857142857143,1.6607142857142858,1.0535714285714286,29,15,12,56,0.5178571428571429
Kaiserslautern,Hamburger SV,1,3,loss,1989-1990,1.3214285714285714,1.5178571428571428,14,21,21,56,0.25,1.5714285714285714,1.25,25,12,19,56,0.44642857142857145
Düsseldorf,Nürnberg,0,0,draw,1989-1990,1.2727272727272727,1.5454545454545454,5,8,9,22,0.22727272727272727,1.1818181818181819,1.4727272727272727,15,16,24,55,0.2727272727272727
Gladbach,Nürnberg,3,0,win,1989-1990,1.1578947368421053,1.3508771929824561,17,20,20,57,0.2982456140350877,1.1607142857142858,1.4464285714285714,15,17,24,56,0.26785714285714285
Homburg,Dortmund,3,3,draw,1989-1990,0.9130434782608695,1.565217391304348,5,5,13,23,0.21739130434782608,1.5357142857142858,1.1071428571428572,21,19,16,56,0.375
Stuttgart,Düsseldorf,4,0,win,1989-1990,1.6666666666666667,1.4035087719298245,28,10,19,57,0.49122807017543857,1.2173913043478262,1.4782608695652173,5,9,9,23,0.21739130434782608
Hamburger SV,Bayern Munich,0,3,loss,1989-1990,1.5964912280701755,1.2456140350877194,26,12,19,57,0.45614035087719296,1.9824561403508771,0.8596491228070176,32,18,7,57,0.5614035087719298
Mannheim,Leverkusen,1,1,draw,1989-1990,1.3157894736842106,1.456140350877193,20,14,23,57,0.3508771929824561,1.3333333333333333,1.105263157894737,19,25,13,57,0.3333333333333333
Karlsruher,Werder Bremen,2,1,win,1989-1990,1.1929824561403508,1.4385964912280702,18,17,22,57,0.3157894736842105,1.543859649122807,1.0526315789473684,25,17,15,57,0.43859649122807015
Bochum,Uerdingen,2,1,win,1989-1990,1.1578947368421053,1.6491228070175439,17,12,28,57,0.2982456140350877,1.3859649122807018,1.6666666666666667,18,16,23,57,0.3157894736842105
Köln,St Pauli,1,0,win,1989-1990,1.6666666666666667,1.0350877192982457,30,15,12,57,0.5263157894736842,1.087719298245614,1.2280701754385965,16,23,18,57,0.2807017543859649
Eint Frankfurt,Kaiserslautern,1,1,draw,1989-1990,1.3508771929824561,1.4035087719298245,20,17,20,57,0.3508771929824561,1.3157894736842106,1.543859649122807,14,21,22,57,0.24561403508771928
St Pauli,Mannheim,2,1,win,1989-1990,1.0689655172413792,1.2241379310344827,16,23,19,58,0.27586206896551724,1.3103448275862069,1.4482758620689655,20,15,23,58,0.3448275862068966
Werder Bremen,Köln,4,0,win,1989-1990,1.5344827586206897,1.0689655172413792,25,17,16,58,0.43103448275862066,1.6551724137931034,1.0172413793103448,31,15,12,58,0.5344827586206896
Leverkusen,Hamburger SV,1,0,win,1989-1990,1.3275862068965518,1.103448275862069,19,26,13,58,0.3275862068965517,1.5689655172413792,1.2758620689655173,26,12,20,58,0.4482758620689655
Uerdingen,Stuttgart,4,1,win,1989-1990,1.3793103448275863,1.6724137931034482,18,16,24,58,0.3103448275862069,1.706896551724138,1.3793103448275863,29,10,19,58,0.5
Bayern Munich,Eint Frankfurt,1,0,win,1989-1990,2.0,0.8448275862068966,33,18,7,58,0.5689655172413793,1.3448275862068966,1.396551724137931,20,18,20,58,0.3448275862068966
Düsseldorf,Gladbach,0,1,loss,1989-1990,1.1666666666666667,1.5833333333333333,5,9,10,24,0.20833333333333334,1.1896551724137931,1.3275862068965518,18,20,20,58,0.3103448275862069
Kaiserslautern,Bochum,2,1,win,1989-1990,1.3103448275862069,1.5344827586206897,14,22,22,58,0.2413793103448276,1.1724137931034482,1.6379310344827587,18,12,28,58,0.3103448275862069
Nürnberg,Homburg,2,0,win,1989-1990,1.1403508771929824,1.4736842105263157,15,17,25,57,0.2631578947368421,1.0,1.625,5,6,13,24,0.20833333333333334
Dortmund,Karlsruher,2,0,win,1989-1990,1.5614035087719298,1.1403508771929824,21,20,16,57,0.3684210526315789,1.206896551724138,1.4310344827586208,19,17,22,58,0.3275862068965517
Homburg,Gladbach,1,3,loss,1989-1990,0.96,1.64,5,6,14,25,0.2,1.1864406779661016,1.305084745762712,19,20,20,59,0.3220338983050847
Eint Frankfurt,Leverkusen,0,3,loss,1989-1990,1.3220338983050848,1.3898305084745763,20,18,21,59,0.3389830508474576,1.3220338983050848,1.0847457627118644,20,26,13,59,0.3389830508474576
Stuttgart,Kaiserslautern,0,1,loss,1989-1990,1.694915254237288,1.423728813559322,29,10,20,59,0.4915254237288136,1.3220338983050848,1.5254237288135593,15,22,22,59,0.2542372881355932
Hamburger SV,St Pauli,0,0,draw,1989-1990,1.5423728813559323,1.271186440677966,26,12,21,59,0.4406779661016949,1.0847457627118644,1.2203389830508475,17,23,19,59,0.288135593220339
Uerdingen,Düsseldorf,0,1,loss,1989-1990,1.423728813559322,1.6610169491525424,19,16,24,59,0.3220338983050847,1.12,1.56,5,9,11,25,0.2
Köln,Dortmund,1,1,draw,1989-1990,1.6271186440677967,1.0677966101694916,31,15,13,59,0.5254237288135594,1.5689655172413792,1.1206896551724137,22,20,16,58,0.3793103448275862
Karlsruher,Nürnberg,0,0,draw,1989-1990,1.1864406779661016,1.4406779661016949,19,17,23,59,0.3220338983050847,1.1551724137931034,1.4482758620689655,16,17,25,58,0.27586206896551724
Bochum,Bayern Munich,0,0,draw,1989-1990,1.1694915254237288,1.6440677966101696,18,12,29,59,0.3050847457627119,1.9830508474576272,0.8305084745762712,34,18,7,59,0.576271186440678
Mannheim,Werder Bremen,0,0,draw,1989-1990,1.305084745762712,1.4576271186440677,20,15,24,59,0.3389830508474576,1.576271186440678,1.0508474576271187,26,17,16,59,0.4406779661016949
Düsseldorf,Homburg,1,0,win,1989-1990,1.1153846153846154,1.5,6,9,11,26,0.23076923076923078,0.9615384615384616,1.6923076923076923,5,6,15,26,0.19230769230769232
Dortmund,Mannheim,2,0,win,1989-1990,1.5593220338983051,1.11864406779661,22,21,16,59,0.3728813559322034,1.2833333333333334,1.4333333333333333,20,16,24,60,0.3333333333333333
Kaiserslautern,Uerdingen,2,1,win,1989-1990,1.3166666666666667,1.5,16,22,22,60,0.26666666666666666,1.4,1.65,19,16,25,60,0.31666666666666665
Gladbach,Karlsruher,0,0,draw,1989-1990,1.2166666666666666,1.3,20,20,20,60,0.3333333333333333,1.1666666666666667,1.4166666666666667,19,18,23,60,0.31666666666666665
Werder Bremen,Hamburger SV,2,1,win,1989-1990,1.55,1.0333333333333334,26,18,16,60,0.43333333333333335,1.5166666666666666,1.25,26,13,21,60,0.43333333333333335
Leverkusen,Bochum,2,1,win,1989-1990,1.35,1.0666666666666667,21,26,13,60,0.35,1.15,1.6166666666666667,18,13,29,60,0.3
Bayern Munich,Stuttgart,3,1,win,1989-1990,1.95,0.8166666666666667,34,19,7,60,0.5666666666666667,1.6666666666666667,1.4166666666666667,29,10,21,60,0.48333333333333334
St Pauli,Eint Frankfurt,2,2,draw,1989-1990,1.0666666666666667,1.2,17,24,19,60,0.2833333333333333,1.3,1.4166666666666667,20,18,22,60,0.3333333333333333
Nürnberg,Köln,1,1,draw,1989-1990,1.1355932203389831,1.423728813559322,16,18,25,59,0.2711864406779661,1.6166666666666667,1.0666666666666667,31,16,13,60,0.5166666666666667
Bochum,St Pauli,3,3,draw,1989-1990,1.1475409836065573,1.6229508196721312,18,13,30,61,0.29508196721311475,1.0819672131147542,1.2131147540983607,17,25,19,61,0.2786885245901639
Kaiserslautern,Düsseldorf,1,0,win,1989-1990,1.3278688524590163,1.4918032786885247,17,22,22,61,0.2786885245901639,1.1111111111111112,1.4444444444444444,7,9,11,27,0.25925925925925924
Stuttgart,Leverkusen,0,0,draw,1989-1990,1.6557377049180328,1.4426229508196722,29,10,22,61,0.47540983606557374,1.360655737704918,1.0655737704918034,22,26,13,61,0.36065573770491804
Eint Frankfurt,Werder Bremen,1,0,win,1989-1990,1.3114754098360655,1.4262295081967213,20,19,22,61,0.32786885245901637,1.5573770491803278,1.0327868852459017,27,18,16,61,0.4426229508196721
Köln,Gladbach,3,0,win,1989-1990,1.6065573770491803,1.0655737704918034,31,17,13,61,0.5081967213114754,1.1967213114754098,1.278688524590164,20,21,20,61,0.32786885245901637
Uerdingen,Bayern Munich,2,2,draw,1989-1990,1.3934426229508197,1.6557377049180328,19,16,26,61,0.3114754098360656,1.9672131147540983,0.819672131147541,35,19,7,61,0.5737704918032787
Mannheim,Nürnberg,1,1,draw,1989-1990,1.2622950819672132,1.4426229508196722,20,16,25,61,0.32786885245901637,1.1333333333333333,1.4166666666666667,16,19,25,60,0.26666666666666666
Hamburger SV,Dortmund,1,1,draw,1989-1990,1.5081967213114753,1.2622950819672132,26,13,22,61,0.4262295081967213,1.5666666666666667,1.1,23,21,16,60,0.38333333333333336
Karlsruher,Homburg,0,2,loss,1989-1990,1.1475409836065573,1.3934426229508197,19,19,23,61,0.3114754098360656,0.9259259259259259,1.6666666666666667,5,6,16,27,0.18518518518518517
Dortmund,Eint Frankfurt,0,0,draw,1989-1990,1.5573770491803278,1.098360655737705,23,22,16,61,0.3770491803278688,1.3064516129032258,1.403225806451613,21,19,22,62,0.3387096774193548
Gladbach,Mannheim,2,0,win,1989-1990,1.1774193548387097,1.3064516129032258,20,21,21,62,0.3225806451612903,1.2580645161290323,1.435483870967742,20,17,25,62,0.3225806451612903
St Pauli,Stuttgart,0,0,draw,1989-1990,1.1129032258064515,1.2419354838709677,17,26,19,62,0.27419354838709675,1.6290322580645162,1.4193548387096775,29,11,22,62,0.46774193548387094
Nürnberg,Hamburger SV,2,0,win,1989-1990,1.1311475409836065,1.4098360655737705,16,20,25,61,0.26229508196721313,1.5,1.2580645161290323,26,14,22,62,0.41935483870967744
Düsseldorf,Karlsruher,0,0,draw,1989-1990,1.0714285714285714,1.4285714285714286,7,9,12,28,0.25,1.1290322580645162,1.403225806451613,19,19,24,62,0.3064516129032258
Homburg,Köln,0,1,loss,1989-1990,0.9642857142857143,1.6071428571428572,6,6,16,28,0.21428571428571427,1.6290322580645162,1.0483870967741935,32,17,13,62,0.5161290322580645
Leverkusen,Uerdingen,1,1,draw,1989-1990,1.3387096774193548,1.0483870967741935,22,27,13,62,0.3548387096774194,1.403225806451613,1.6612903225806452,19,17,26,62,0.3064516129032258
Bayern Munich,Kaiserslautern,3,0,win,1989-1990,1.967741935483871,0.8387096774193549,35,20,7,62,0.5645161290322581,1.3225806451612903,1.467741935483871,18,22,22,62,0.2903225806451613
Werder Bremen,Bochum,1,1,draw,1989-1990,1.532258064516129,1.032258064516129,27,18,17,62,0.43548387096774194,1.1774193548387097,1.6451612903225807,18,14,30,62,0.2903225806451613
Nürnberg,Dortmund,1,3,loss,1989-1990,1.1451612903225807,1.3870967741935485,17,20,25,62,0.27419354838709675,1.532258064516129,1.0806451612903225,23,23,16,62,0.3709677419354839
Kaiserslautern,Leverkusen,2,0,win,1989-1990,1.3015873015873016,1.492063492063492,18,22,23,63,0.2857142857142857,1.3333333333333333,1.0476190476190477,22,28,13,63,0.3492063492063492
Uerdingen,St Pauli,1,0,win,1989-1990,1.3968253968253967,1.6507936507936507,19,18,26,63,0.30158730158730157,1.0952380952380953,1.2222222222222223,17,27,19,63,0.2698412698412698
Bochum,Dortmund,2,3,loss,1989-1990,1.1746031746031746,1.6349206349206349,18,15,30,63,0.2857142857142857,1.5555555555555556,1.0793650793650793,24,23,16,63,0.38095238095238093
Hamburger SV,Gladbach,3,0,win,1989-1990,1.4761904761904763,1.2698412698412698,26,14,23,63,0.4126984126984127,1.1904761904761905,1.2857142857142858,21,21,21,63,0.3333333333333333
Stuttgart,Werder Bremen,3,1,win,1989-1990,1.6031746031746033,1.3968253968253967,29,12,22,63,0.4603174603174603,1.5238095238095237,1.0317460317460319,27,19,17,63,0.42857142857142855
Eint Frankfurt,Nürnberg,5,1,win,1989-1990,1.2857142857142858,1.380952380952381,21,20,22,63,0.3333333333333333,1.1428571428571428,1.4126984126984128,17,20,26,63,0.2698412698412698
Mannheim,Homburg,1,2,loss,1989-1990,1.2380952380952381,1.4444444444444444,20,17,26,63,0.31746031746031744,0.9310344827586207,1.5862068965517242,6,6,17,29,0.20689655172413793
Köln,Karlsruher,0,5,loss,1989-1990,1.619047619047619,1.0317460317460319,33,17,13,63,0.5238095238095238,1.1111111111111112,1.380952380952381,19,20,24,63,0.30158730158730157
Bayern Munich,Düsseldorf,0,0,draw,1989-1990,1.9841269841269842,0.8253968253968254,36,20,7,63,0.5714285714285714,1.0344827586206897,1.3793103448275863,7,10,12,29,0.2413793103448276
Homburg,Hamburger SV,0,1,loss,1989-1990,0.9666666666666667,1.5666666666666667,7,6,17,30,0.23333333333333334,1.5,1.25,27,14,23,64,0.421875
St Pauli,Kaiserslautern,0,2,loss,1989-1990,1.078125,1.21875,17,27,20,64,0.265625,1.3125,1.46875,19,22,23,64,0.296875
Werder Bremen,Uerdingen,0,0,draw,1989-1990,1.515625,1.0625,27,19,18,64,0.421875,1.390625,1.625,20,18,26,64,0.3125
Leverkusen,Bayern Munich,0,0,draw,1989-1990,1.3125,1.0625,22,28,14,64,0.34375,1.953125,0.8125,36,21,7,64,0.5625
Düsseldorf,Köln,1,1,draw,1989-1990,1.0,1.3333333333333333,7,11,12,30,0.23333333333333334,1.59375,1.09375,33,17,14,64,0.515625
Nürnberg,Bochum,2,1,win,1989-1990,1.140625,1.46875,17,20,27,64,0.265625,1.1875,1.65625,18,15,31,64,0.28125
Dortmund,Stuttgart,2,0,win,1989-1990,1.578125,1.09375,25,23,16,64,0.390625,1.625,1.390625,30,12,22,64,0.46875
Karlsruher,Mannheim,4,0,win,1989-1990,1.171875,1.359375,20,20,24,64,0.3125,1.234375,1.453125,20,17,27,64,0.3125
Gladbach,Eint Frankfurt,2,1,win,1989-1990,1.171875,1.3125,21,21,22,64,0.328125,1.34375,1.375,22,20,22,64,0.34375
Eint Frankfurt,Homburg,1,1,draw,1989-1990,1.3384615384615384,1.3846153846153846,22,20,23,65,0.3384615384615385,0.9354838709677419,1.5483870967741935,7,6,18,31,0.22580645161290322
Stuttgart,Nürnberg,4,0,win,1989-1990,1.6,1.4,30,12,23,65,0.46153846153846156,1.1538461538461537,1.4615384615384615,18,20,27,65,0.27692307692307694
Kaiserslautern,Werder Bremen,2,2,draw,1989-1990,1.323076923076923,1.4461538461538461,20,22,23,65,0.3076923076923077,1.4923076923076923,1.0461538461538462,27,20,18,65,0.4153846153846154
Bochum,Gladbach,2,1,win,1989-1990,1.1846153846153846,1.6615384615384616,18,15,32,65,0.27692307692307694,1.1846153846153846,1.3076923076923077,22,21,22,65,0.3384615384615385
Köln,Mannheim,6,0,win,1989-1990,1.5846153846153845,1.0923076923076922,33,18,14,65,0.5076923076923077,1.2153846153846153,1.4923076923076923,20,17,28,65,0.3076923076923077
Uerdingen,Dortmund,1,3,loss,1989-1990,1.3692307692307693,1.6,20,19,26,65,0.3076923076923077,1.5846153846153845,1.0769230769230769,26,23,16,65,0.4
Hamburger SV,Karlsruher,1,0,win,1989-1990,1.4923076923076923,1.2307692307692308,28,14,23,65,0.4307692307692308,1.2153846153846153,1.3384615384615384,21,20,24,65,0.3230769230769231
Düsseldorf,Leverkusen,2,0,win,1989-1990,1.0,1.3225806451612903,7,12,12,31,0.22580645161290322,1.2923076923076924,1.0461538461538462,22,29,14,65,0.3384615384615385
Bayern Munich,St Pauli,1,0,win,1989-1990,1.9230769230769231,0.8,36,22,7,65,0.5538461538461539,1.0615384615384615,1.2307692307692308,17,27,21,65,0.26153846153846155
Werder Bremen,Bayern Munich,2,2,draw,1989-1990,1.5,1.0606060606060606,27,21,18,66,0.4090909090909091,1.9090909090909092,0.7878787878787878,37,22,7,66,0.5606060606060606
Karlsruher,Eint Frankfurt,1,0,win,1989-1990,1.196969696969697,1.3333333333333333,21,20,25,66,0.3181818181818182,1.3333333333333333,1.378787878787879,22,21,23,66,0.3333333333333333
Gladbach,Stuttgart,3,1,win,1989-1990,1.1818181818181819,1.3181818181818181,22,21,23,66,0.3333333333333333,1.6363636363636365,1.378787878787879,31,12,23,66,0.4696969696969697
Nürnberg,Uerdingen,1,1,draw,1989-1990,1.1363636363636365,1.5,18,20,28,66,0.2727272727272727,1.3636363636363635,1.621212121212121,20,19,27,66,0.30303030303030304
Dortmund,Kaiserslautern,1,1,draw,1989-1990,1.606060606060606,1.0757575757575757,27,23,16,66,0.4090909090909091,1.3333333333333333,1.4545454545454546,20,23,23,66,0.30303030303030304
Homburg,Bochum,1,0,win,1989-1990,0.9375,1.53125,7,7,18,32,0.21875,1.196969696969697,1.6515151515151516,19,15,32,66,0.2878787878787879
Mannheim,Düsseldorf,0,1,loss,1989-1990,1.196969696969697,1.5606060606060606,20,17,29,66,0.30303030303030304,1.03125,1.28125,8,12,12,32,0.25
Köln,Hamburger SV,2,0,win,1989-1990,1.6515151515151516,1.0757575757575757,34,18,14,66,0.5151515151515151,1.4848484848484849,1.2121212121212122,29,14,23,66,0.4393939393939394
St Pauli,Leverkusen,3,0,win,1989-1990,1.0454545454545454,1.2272727272727273,17,27,22,66,0.25757575757575757,1.2727272727272727,1.0606060606060606,22,29,15,66,0.3333333333333333
Kaiserslautern,Nürnberg,0,2,loss,1989-1990,1.328358208955224,1.4477611940298507,20,24,23,67,0.29850746268656714,1.1343283582089552,1.492537313432836,18,21,28,67,0.26865671641791045
Leverkusen,Werder Bremen,1,3,loss,1989-1990,1.2537313432835822,1.0895522388059702,22,29,16,67,0.3283582089552239,1.507462686567164,1.0746268656716418,27,22,18,67,0.40298507462686567
Düsseldorf,St Pauli,7,0,win,1989-1990,1.0303030303030303,1.2424242424242424,9,12,12,33,0.2727272727272727,1.0746268656716418,1.208955223880597,18,27,22,67,0.26865671641791045
Uerdingen,Gladbach,0,0,draw,1989-1990,1.3582089552238805,1.6119402985074627,20,20,27,67,0.29850746268656714,1.208955223880597,1.3134328358208955,23,21,23,67,0.34328358208955223
Bayern Munich,Dortmund,3,0,win,1989-1990,1.9104477611940298,0.8059701492537313,37,23,7,67,0.5522388059701493,1.5970149253731343,1.0746268656716418,27,24,16,67,0.40298507462686567
Stuttgart,Homburg,2,2,draw,1989-1990,1.626865671641791,1.4029850746268657,31,12,24,67,0.4626865671641791,0.9393939393939394,1.4848484848484849,8,7,18,33,0.24242424242424243
Hamburger SV,Mannheim,1,0,win,1989-1990,1.462686567164179,1.2238805970149254,29,14,24,67,0.43283582089552236,1.1791044776119404,1.5522388059701493,20,17,30,67,0.29850746268656714
Eint Frankfurt,Köln,3,1,win,1989-1990,1.3134328358208955,1.373134328358209,22,21,24,67,0.3283582089552239,1.6567164179104477,1.0597014925373134,35,18,14,67,0.5223880597014925
