home_team,away_team,date,attendance,venue,referee,status,home_goals,away_goals,season,home_form_goals_scored,home_form_goals_conceded,home_form_win_rate,away_form_goals_scored,away_form_goals_conceded,away_form_win_rate,result,time
Oviedo,Real Sociedad,1988-09-03,,Carlos Tartiere,Alfonso Álvarez,played,1.0,0.0,1988-1989,0.0,0.0,0.0,0.0,0.0,0.0,win,
Logroñés,Atlético Madrid,1988-09-03,,Las Gaunas,Andújar Oliver,played,1.0,0.0,1988-1989,0.0,0.0,0.0,0.0,0.0,0.0,win,
Barcelona,Espanyol,1988-09-03,,Nou Camp,Ramos Marcos,played,2.0,0.0,1988-1989,0.0,0.0,0.0,0.0,0.0,0.0,win,
Athletic Club,Sevilla,1988-09-03,,San Mamés,Soriano Aladren,played,3.0,0.0,1988-1989,0.0,0.0,0.0,0.0,0.0,0.0,win,
Celta Vigo,Cádiz,1988-09-04,,Estadio de Balaídos,Pajares Paz,played,3.0,2.0,1988-1989,0.0,0.0,0.0,0.0,0.0,0.0,win,
Real Madrid,Osasuna,1988-09-04,,Santiago Bernabéu,Socorro González,played,2.0,2.0,1988-1989,0.0,0.0,0.0,0.0,0.0,0.0,draw,
Valladolid,Elche,1988-09-04,,Nuevo Zorrilla,Díaz Agüero,played,3.0,0.0,1988-1989,0.0,0.0,0.0,0.0,0.0,0.0,win,
Zaragoza,Valencia,1988-09-04,,La Romareda,Díaz Vega,played,0.0,0.0,1988-1989,0.0,0.0,0.0,0.0,0.0,0.0,draw,
Real Murcia,Málaga,1988-09-04,,La Condomina,Mazorra Freire,played,1.0,0.0,1988-1989,0.0,0.0,0.0,0.0,0.0,0.0,win,
Real Betis,Sporting Gijón,1988-09-04,,Benito Villamarín,Urío Velázquez,played,0.0,1.0,1988-1989,0.0,0.0,0.0,0.0,0.0,0.0,loss,
Málaga,Celta Vigo,1988-09-10,,La Rosaleda,Benavente Garasa,played,2.0,2.0,1988-1989,0.0,1.0,0.0,3.0,2.0,1.0,draw,
Espanyol,Real Murcia,1988-09-10,,Sarriá,Calvo Córdova,played,3.0,0.0,1988-1989,0.0,2.0,0.0,1.0,0.0,1.0,win,
Valencia,Valladolid,1988-09-10,,Luis Casanova,Marín López,played,1.0,0.0,1988-1989,0.0,0.0,0.0,3.0,0.0,1.0,win,
Sevilla,Oviedo,1988-09-11,,Ramón Sánchez Pizjuán,Vico Díaz,played,2.0,1.0,1988-1989,0.0,3.0,0.0,1.0,0.0,1.0,win,
Elche,Barcelona,1988-09-11,,Manuel Martinez Valero,Urizar Azpitarte,played,0.0,3.0,1988-1989,0.0,3.0,0.0,2.0,0.0,1.0,loss,
Osasuna,Zaragoza,1988-09-11,,El Sadar,Martín Navarrete,played,3.0,0.0,1988-1989,2.0,2.0,0.0,0.0,0.0,0.0,win,
Sporting Gijón,Real Madrid,1988-09-11,,El Molinón,Pes Pérez,played,2.0,2.0,1988-1989,1.0,0.0,1.0,2.0,2.0,0.0,draw,
Real Sociedad,Real Betis,1988-09-11,,Atocha,Peraita Ibáñez,played,2.0,1.0,1988-1989,0.0,1.0,0.0,0.0,1.0,0.0,win,
Atlético Madrid,Athletic Club,1988-09-11,,Vicente Calderón,Sánchez Arminio,played,0.0,1.0,1988-1989,0.0,1.0,0.0,3.0,0.0,1.0,loss,
Cádiz,Logroñés,1988-09-11,,Ramón de Carranza,Taboada Soto,played,0.0,1.0,1988-1989,2.0,3.0,0.0,1.0,0.0,1.0,loss,
Barcelona,Valencia,1988-09-17,,Nou Camp,García de Loza,played,1.0,1.0,1988-1989,2.5,0.0,1.0,0.5,0.0,0.5,draw,
Valladolid,Osasuna,1988-09-17,,Nuevo Zorrilla,Riera Morro,played,1.0,0.0,1988-1989,1.5,0.5,0.5,2.5,1.0,0.5,win,
Logroñés,Málaga,1988-09-18,,Las Gaunas,Albert Giménez,played,1.0,0.0,1988-1989,1.0,0.0,1.0,1.0,1.5,0.0,win,
Zaragoza,Sporting Gijón,1988-09-18,,La Romareda,Jiménez Muñoz,played,1.0,1.0,1988-1989,0.0,1.5,0.0,1.5,1.0,0.5,draw,
Real Murcia,Elche,1988-09-18,,La Condomina,Brito Arceo,played,0.0,1.0,1988-1989,0.5,1.5,0.5,0.0,3.0,0.0,loss,
Sevilla,Atlético Madrid,1988-09-18,,Ramón Sánchez Pizjuán,Enríquez Negreira,played,4.0,1.0,1988-1989,1.0,2.0,0.5,0.0,1.0,0.0,win,
Celta Vigo,Espanyol,1988-09-18,,Estadio de Balaídos,López Nieto,played,0.0,0.0,1988-1989,2.5,2.0,0.5,1.5,1.0,0.5,draw,
Real Madrid,Real Sociedad,1988-09-18,,Santiago Bernabéu,Merino González,played,2.0,2.0,1988-1989,2.0,2.0,0.0,1.0,1.0,0.5,draw,
Athletic Club,Cádiz,1988-09-18,,San Mamés,Ansuategui Roca,played,1.0,0.0,1988-1989,2.0,0.0,1.0,1.0,2.0,0.0,win,
Oviedo,Real Betis,1988-09-18,,Carlos Tartiere,Paz García,played,0.0,3.0,1988-1989,1.0,1.0,0.5,0.5,1.5,0.0,loss,
Osasuna,Barcelona,1988-09-24,,El Sadar,Soriano Aladren,played,1.0,1.0,1988-1989,1.6666666666666667,1.0,0.3333333333333333,2.0,0.3333333333333333,0.6666666666666666,draw,
Valencia,Real Murcia,1988-09-24,,Luis Casanova,Alfonso Álvarez,played,3.0,0.0,1988-1989,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.3333333333333333,0.3333333333333333,win,
Sporting Gijón,Valladolid,1988-09-25,,El Molinón,Mazorra Freire,played,2.0,1.0,1988-1989,1.3333333333333333,1.0,0.3333333333333333,1.3333333333333333,0.3333333333333333,0.6666666666666666,win,
Espanyol,Logroñés,1988-09-25,,Sarriá,Sánchez Moreno,played,2.0,0.0,1988-1989,1.0,0.6666666666666666,0.3333333333333333,1.0,0.0,1.0,win,
Real Sociedad,Zaragoza,1988-09-25,,Atocha,Andújar Oliver,played,2.0,1.0,1988-1989,1.3333333333333333,1.3333333333333333,0.3333333333333333,0.3333333333333333,1.3333333333333333,0.0,win,
Elche,Celta Vigo,1988-09-25,,Manuel Martinez Valero,Urío Velázquez,played,0.0,1.0,1988-1989,0.3333333333333333,2.0,0.3333333333333333,1.6666666666666667,1.3333333333333333,0.3333333333333333,loss,
Málaga,Athletic Club,1988-09-25,,La Rosaleda,Díaz Vega,played,1.0,1.0,1988-1989,0.6666666666666666,1.3333333333333333,0.0,1.6666666666666667,0.0,1.0,draw,
Atlético Madrid,Oviedo,1988-09-25,,Vicente Calderón,Pérez Sánchez,played,2.0,2.0,1988-1989,0.3333333333333333,2.0,0.0,0.6666666666666666,1.6666666666666667,0.3333333333333333,draw,
Real Betis,Real Madrid,1988-09-25,,Benito Villamarín,Valdés Sánchez,played,0.0,2.0,1988-1989,1.3333333333333333,1.0,0.3333333333333333,2.0,2.0,0.0,loss,
Cádiz,Sevilla,1988-09-25,,Ramón de Carranza,Ramos Marcos,played,0.0,0.0,1988-1989,0.6666666666666666,1.6666666666666667,0.0,2.0,1.6666666666666667,0.6666666666666666,draw,
Athletic Club,Espanyol,1988-10-01,,San Mamés,Peraita Ibáñez,played,1.0,0.0,1988-1989,1.5,0.25,0.75,1.25,0.5,0.5,win,
Atlético Madrid,Cádiz,1988-10-01,,Vicente Calderón,Díaz Agüero,played,3.0,0.0,1988-1989,0.75,2.0,0.0,0.5,1.25,0.0,win,
Valladolid,Real Sociedad,1988-10-01,,Nuevo Zorrilla,Vico Díaz,played,2.0,0.0,1988-1989,1.25,0.75,0.5,1.5,1.25,0.5,win,
Celta Vigo,Valencia,1988-10-01,,Estadio de Balaídos,Sánchez Arminio,played,2.0,0.0,1988-1989,1.5,1.0,0.5,1.25,0.25,0.5,win,
Oviedo,Real Madrid,1988-10-02,,Carlos Tartiere,Martín Navarrete,played,1.0,3.0,1988-1989,1.0,1.75,0.25,2.0,1.5,0.25,loss,
Zaragoza,Real Betis,1988-10-02,,La Romareda,Benavente Garasa,played,2.0,1.0,1988-1989,0.5,1.5,0.0,1.0,1.25,0.25,win,
Logroñés,Elche,1988-10-02,,Las Gaunas,Pajares Paz,played,2.0,1.0,1988-1989,0.75,0.5,0.75,0.25,1.75,0.25,win,
Barcelona,Sporting Gijón,1988-10-02,,Nou Camp,Calvo Córdova,played,4.0,0.0,1988-1989,1.75,0.5,0.5,1.5,1.0,0.5,win,
Sevilla,Málaga,1988-10-02,,Ramón Sánchez Pizjuán,Socorro González,played,1.0,1.0,1988-1989,1.5,1.25,0.5,0.75,1.25,0.0,draw,
Real Murcia,Osasuna,1988-10-02,,La Condomina,Taboada Soto,played,6.0,1.0,1988-1989,0.25,1.75,0.25,1.5,1.0,0.25,win,
Real Sociedad,Barcelona,1988-10-08,,Atocha,Marín López,played,0.0,1.0,1988-1989,1.2,1.4,0.4,2.2,0.4,0.6,loss,
Valencia,Logroñés,1988-10-08,,Luis Casanova,Enríquez Negreira,played,0.0,0.0,1988-1989,1.0,0.6,0.4,1.0,0.6,0.8,draw,
Elche,Athletic Club,1988-10-09,,Manuel Martinez Valero,Merino González,played,2.0,0.0,1988-1989,0.4,1.8,0.2,1.4,0.2,0.8,win,
Sporting Gijón,Real Murcia,1988-10-09,,El Molinón,Ansuategui Roca,played,0.0,1.0,1988-1989,1.2,1.6,0.4,1.4,1.6,0.4,loss,
Real Madrid,Zaragoza,1988-10-09,,Santiago Bernabéu,Brito Arceo,played,4.0,0.0,1988-1989,2.2,1.4,0.4,0.8,1.4,0.2,win,
Cádiz,Oviedo,1988-10-09,,Ramón de Carranza,Sánchez Molina Soto,played,1.0,1.0,1988-1989,0.4,1.6,0.0,1.0,2.0,0.2,draw,
Osasuna,Celta Vigo,1988-10-09,,El Sadar,Jiménez Muñoz,played,1.0,0.0,1988-1989,1.4,2.0,0.2,1.6,0.8,0.6,win,
Real Betis,Valladolid,1988-10-09,,Benito Villamarín,Albert Giménez,played,0.0,1.0,1988-1989,1.0,1.4,0.2,1.4,0.6,0.6,loss,
Málaga,Atlético Madrid,1988-10-09,,La Rosaleda,García de Loza,played,1.0,2.0,1988-1989,0.8,1.2,0.0,1.2,1.6,0.2,loss,
Espanyol,Sevilla,1988-10-09,,Sarriá,Riera Morro,played,1.0,1.0,1988-1989,1.0,0.6,0.4,1.4,1.2,0.4,draw,
Athletic Club,Valencia,1988-10-15,,San Mamés,Ramos Marcos,played,1.0,2.0,1988-1989,0.8,0.6,0.6666666666666666,1.0,0.6,0.3333333333333333,loss,
Cádiz,Málaga,1988-10-16,,Ramón de Carranza,Urío Velázquez,played,0.0,1.0,1988-1989,0.2,1.2,0.0,1.0,1.4,0.0,loss,
Atlético Madrid,Espanyol,1988-10-16,,Vicente Calderón,Valdés Sánchez,played,6.0,1.0,1988-1989,1.6,1.6,0.3333333333333333,1.2,0.4,0.3333333333333333,win,
Oviedo,Zaragoza,1988-10-16,,Carlos Tartiere,Mazorra Freire,played,1.0,1.0,1988-1989,1.0,2.2,0.1666666666666666,0.8,2.2,0.1666666666666666,draw,
Valladolid,Real Madrid,1988-10-16,,Nuevo Zorrilla,Díaz Vega,played,0.0,1.0,1988-1989,1.0,0.6,0.6666666666666666,2.6,1.0,0.5,loss,
Sevilla,Elche,1988-10-16,,Ramón Sánchez Pizjuán,Paz García,played,4.0,1.0,1988-1989,1.6,0.8,0.3333333333333333,0.8,1.2,0.3333333333333333,win,
Real Murcia,Real Sociedad,1988-10-16,,La Condomina,Soriano Aladren,played,0.0,1.0,1988-1989,1.4,1.6,0.5,1.2,1.4,0.3333333333333333,loss,
Barcelona,Real Betis,1988-10-16,,Nou Camp,Sánchez Moreno,played,3.0,0.0,1988-1989,2.0,0.4,0.6666666666666666,1.0,1.4,0.1666666666666666,win,
Celta Vigo,Sporting Gijón,1988-10-16,,Estadio de Balaídos,Urizar Azpitarte,played,2.0,1.0,1988-1989,1.0,0.6,0.5,1.0,1.8,0.3333333333333333,win,
Logroñés,Osasuna,1988-10-16,,Las Gaunas,Alfonso Álvarez,played,1.0,1.0,1988-1989,0.8,0.6,0.6666666666666666,1.2,1.6,0.3333333333333333,draw,
Real Madrid,Barcelona,1988-10-22,,Santiago Bernabéu,Sánchez Arminio,played,3.0,2.0,1988-1989,2.4,0.6,0.5714285714285714,2.0,0.4,0.7142857142857143,win,
Real Betis,Real Murcia,1988-10-23,,Benito Villamarín,Vico Díaz,played,3.0,0.0,1988-1989,0.8,1.6,0.1428571428571428,1.4,1.2,0.4285714285714285,win,
Valencia,Sevilla,1988-10-23,,Luis Casanova,Benavente Garasa,played,1.0,0.0,1988-1989,1.2,0.8,0.4285714285714285,2.0,0.8,0.4285714285714285,win,
Elche,Atlético Madrid,1988-10-23,,Manuel Martinez Valero,Taboada Soto,played,1.0,3.0,1988-1989,1.0,1.4,0.2857142857142857,2.8,1.6,0.4285714285714285,loss,
Osasuna,Athletic Club,1988-10-23,,El Sadar,Andújar Oliver,played,1.0,0.0,1988-1989,0.8,1.8,0.2857142857142857,0.8,1.0,0.5714285714285714,win,
Málaga,Oviedo,1988-10-23,,La Rosaleda,Jiménez Muñoz,played,1.0,1.0,1988-1989,0.8,1.0,0.1428571428571428,1.0,2.0,0.1428571428571428,draw,
Espanyol,Cádiz,1988-10-23,,Sarriá,Pérez Sánchez,played,0.0,2.0,1988-1989,0.8,1.6,0.2857142857142857,0.2,1.2,0.0,loss,
Sporting Gijón,Logroñés,1988-10-23,,El Molinón,López Nieto,played,3.0,0.0,1988-1989,0.8,1.8,0.2857142857142857,0.8,0.8,0.5714285714285714,win,
Zaragoza,Valladolid,1988-10-23,,La Romareda,Socorro González,played,2.0,0.0,1988-1989,1.0,1.8,0.1428571428571428,1.0,0.6,0.5714285714285714,win,
Atlético Madrid,Valencia,1988-10-29,,Vicente Calderón,Calvo Córdova,played,2.0,0.0,1988-1989,3.2,1.0,0.5,1.2,0.6,0.5,win,
Celta Vigo,Real Betis,1988-10-30,,Estadio de Balaídos,Merino González,played,0.0,0.0,1988-1989,1.0,0.4,0.5714285714285714,0.8,1.6,0.25,draw,
Athletic Club,Sporting Gijón,1988-10-30,,San Mamés,Sánchez Molina Soto,played,1.0,4.0,1988-1989,0.6,1.2,0.5,1.2,1.6,0.375,loss,
Oviedo,Valladolid,1988-10-30,,Carlos Tartiere,Pajares Paz,played,0.0,1.0,1988-1989,1.2,1.6,0.125,0.8,1.0,0.5,loss,
Real Murcia,Real Madrid,1988-10-30,,La Condomina,Enríquez Negreira,played,0.0,3.0,1988-1989,1.4,1.6,0.375,2.6,0.6,0.625,loss,
Logroñés,Real Sociedad,1988-10-30,,Las Gaunas,García de Loza,played,1.0,1.0,1988-1989,0.6,1.4,0.5,1.0,1.2,0.4285714285714285,draw,
Málaga,Espanyol,1988-10-30,,La Rosaleda,Marín López,played,1.0,0.0,1988-1989,1.0,1.0,0.125,0.8,2.0,0.25,win,
Barcelona,Zaragoza,1988-10-30,,Nou Camp,Díaz Agüero,played,1.0,0.0,1988-1989,2.2,0.8,0.625,1.2,1.6,0.25,win,
Sevilla,Osasuna,1988-10-30,,Ramón Sánchez Pizjuán,Brito Arceo,played,1.0,0.0,1988-1989,1.2,0.8,0.375,1.0,1.6,0.375,win,
Cádiz,Elche,1988-10-30,,Ramón de Carranza,Riera Morro,played,2.0,1.0,1988-1989,0.6,1.0,0.125,1.0,2.0,0.25,win,
Real Sociedad,Athletic Club,1988-11-05,,Atocha,Valdés Sánchez,played,1.0,0.0,1988-1989,0.8,1.0,0.375,0.6,1.8,0.4444444444444444,win,
Valladolid,Barcelona,1988-11-06,,Nuevo Zorrilla,Urío Velázquez,played,0.0,0.0,1988-1989,0.8,0.6,0.5555555555555556,2.2,0.6,0.6666666666666666,draw,
Osasuna,Atlético Madrid,1988-11-06,,El Sadar,Pes Pérez,played,2.0,0.0,1988-1989,0.8,1.6,0.3333333333333333,3.2,0.6,0.5555555555555556,win,
Elche,Málaga,1988-11-06,,Manuel Martinez Valero,Soriano Aladren,played,0.0,2.0,1988-1989,1.2,2.2,0.2222222222222222,1.0,0.8,0.2222222222222222,loss,
Valencia,Cádiz,1988-11-06,,Luis Casanova,Mazorra Freire,played,1.0,2.0,1988-1989,0.6,1.0,0.4444444444444444,1.0,1.2,0.2222222222222222,loss,
Zaragoza,Real Murcia,1988-11-06,,La Romareda,Urizar Azpitarte,played,2.0,1.0,1988-1989,1.0,1.4,0.2222222222222222,1.4,1.6,0.3333333333333333,win,
Real Madrid,Celta Vigo,1988-11-06,,Santiago Bernabéu,Alfonso Álvarez,played,4.0,1.0,1988-1989,2.8,0.6,0.6666666666666666,1.0,0.4,0.5,win,
Real Betis,Logroñés,1988-11-06,,Benito Villamarín,Díaz Vega,played,0.0,0.0,1988-1989,0.8,1.2,0.2222222222222222,0.8,1.2,0.4444444444444444,draw,
Espanyol,Oviedo,1988-11-06,,Sarriá,Ansuategui Roca,played,1.0,2.0,1988-1989,0.4,2.2,0.2222222222222222,0.8,1.4,0.1111111111111111,loss,
Sporting Gijón,Sevilla,1988-11-06,,El Molinón,Albert Giménez,played,0.0,0.0,1988-1989,1.6,1.6,0.4444444444444444,1.4,0.8,0.4444444444444444,draw,
Logroñés,Real Madrid,1988-11-19,,Las Gaunas,Ramos Marcos,played,0.0,1.0,1988-1989,0.4,1.0,0.4,3.0,0.6,0.7,loss,
Málaga,Valencia,1988-11-20,,La Rosaleda,Taboada Soto,played,0.0,1.0,1988-1989,1.2,0.6,0.3,0.8,1.0,0.4,loss,
Athletic Club,Real Betis,1988-11-20,,San Mamés,Socorro González,played,1.0,1.0,1988-1989,0.4,2.0,0.4,0.6,0.8,0.2,draw,
Celta Vigo,Zaragoza,1988-11-20,,Estadio de Balaídos,Paz García,played,1.0,1.0,1988-1989,1.0,1.2,0.4444444444444444,1.0,1.4,0.3,draw,
Cádiz,Osasuna,1988-11-20,,Ramón de Carranza,Vico Díaz,played,1.0,1.0,1988-1989,1.4,0.8,0.3,1.0,0.4,0.4,draw,
Espanyol,Elche,1988-11-20,,Sarriá,Benavente Garasa,played,1.0,1.0,1988-1989,0.6,2.4,0.2,1.0,2.2,0.2,draw,
Atlético Madrid,Sporting Gijón,1988-11-20,,Vicente Calderón,Peraita Ibáñez,played,0.0,0.0,1988-1989,2.6,1.0,0.5,1.6,0.8,0.4,draw,
Oviedo,Barcelona,1988-11-20,,Carlos Tartiere,Andújar Oliver,played,1.0,2.0,1988-1989,1.0,1.0,0.2,1.4,0.6,0.6,loss,
Sevilla,Real Sociedad,1988-11-20,,Ramón Sánchez Pizjuán,Sánchez Arminio,played,2.0,0.0,1988-1989,1.2,0.6,0.4,0.6,0.8,0.4444444444444444,win,
Real Murcia,Valladolid,1988-11-20,,La Condomina,Sánchez Moreno,played,2.0,1.0,1988-1989,0.4,1.8,0.3,0.4,0.6,0.5,win,
Real Madrid,Athletic Club,1988-11-26,,Santiago Bernabéu,García de Loza,played,3.0,3.0,1988-1989,2.4,0.6,0.7272727272727273,0.6,1.8,0.3636363636363636,draw,
Osasuna,Málaga,1988-11-27,,El Sadar,Pérez Sánchez,played,1.0,0.0,1988-1989,1.0,0.6,0.3636363636363636,1.0,0.4,0.2727272727272727,win,
Barcelona,Real Murcia,1988-11-27,,Nou Camp,Pajares Paz,played,3.0,1.0,1988-1989,1.6,0.8,0.6363636363636364,0.6,2.0,0.3636363636363636,win,
Zaragoza,Logroñés,1988-11-27,,La Romareda,Riera Morro,played,1.0,1.0,1988-1989,1.2,0.8,0.2727272727272727,0.4,1.2,0.3636363636363636,draw,
Elche,Oviedo,1988-11-27,,Manuel Martinez Valero,Enríquez Negreira,played,0.0,1.0,1988-1989,0.8,2.4,0.1818181818181818,1.0,1.2,0.1818181818181818,loss,
Sporting Gijón,Cádiz,1988-11-27,,El Molinón,Jiménez Muñoz,played,1.0,0.0,1988-1989,1.6,0.6,0.3636363636363636,1.4,0.8,0.2727272727272727,win,
Real Betis,Sevilla,1988-11-27,,Benito Villamarín,Soriano Aladren,played,1.0,3.0,1988-1989,0.8,0.8,0.1818181818181818,1.4,0.4,0.4545454545454545,loss,
Real Sociedad,Atlético Madrid,1988-11-27,,Atocha,Brito Arceo,played,1.0,2.0,1988-1989,0.6,0.8,0.4,2.2,0.8,0.4545454545454545,loss,
Valencia,Espanyol,1988-11-27,,Luis Casanova,Martín Navarrete,played,1.0,1.0,1988-1989,1.0,1.0,0.4545454545454545,0.6,2.4,0.1818181818181818,draw,
Valladolid,Celta Vigo,1988-11-27,,Nuevo Zorrilla,López Nieto,played,0.0,1.0,1988-1989,0.4,1.0,0.4545454545454545,0.8,1.4,0.4,loss,
Málaga,Sporting Gijón,1988-11-30,,La Rosaleda,Díaz Agüero,played,1.0,0.0,1988-1989,0.8,0.6,0.25,1.6,0.2,0.4166666666666667,win,
Elche,Valencia,1988-11-30,,Manuel Martinez Valero,Alfonso Álvarez,played,0.0,1.0,1988-1989,0.6,1.8,0.1666666666666666,0.8,1.0,0.4166666666666667,loss,
Athletic Club,Zaragoza,1988-11-30,,San Mamés,Albert Giménez,played,1.0,1.0,1988-1989,1.0,2.0,0.3333333333333333,1.2,0.8,0.25,draw,
Atlético Madrid,Real Betis,1988-11-30,,Vicente Calderón,Ansuategui Roca,played,6.0,2.0,1988-1989,1.4,0.8,0.5,1.0,0.8,0.1666666666666666,win,
Espanyol,Osasuna,1988-11-30,,Sarriá,Merino González,played,1.0,1.0,1988-1989,0.6,1.4,0.1666666666666666,1.0,0.4,0.4166666666666667,draw,
Oviedo,Real Murcia,1988-11-30,,Carlos Tartiere,Marín López,played,2.0,0.0,1988-1989,1.0,1.0,0.25,0.8,2.4,0.3333333333333333,win,
Sevilla,Real Madrid,1988-11-30,,Ramón Sánchez Pizjuán,Urizar Azpitarte,played,1.0,1.0,1988-1989,1.2,0.4,0.5,2.8,1.2,0.6666666666666666,draw,
Logroñés,Valladolid,1988-11-30,,Las Gaunas,Sánchez Molina Soto,played,1.0,1.0,1988-1989,0.4,1.2,0.3333333333333333,0.4,1.0,0.4166666666666667,draw,
Cádiz,Real Sociedad,1988-11-30,,Ramón de Carranza,Díaz Vega,played,1.0,1.0,1988-1989,1.4,0.8,0.25,0.8,1.0,0.3636363636363636,draw,
Celta Vigo,Barcelona,1988-12-01,,Estadio de Balaídos,Valdés Sánchez,played,0.0,3.0,1988-1989,1.0,1.2,0.4545454545454545,1.6,1.0,0.6666666666666666,loss,
Real Madrid,Atlético Madrid,1988-12-03,,Santiago Bernabéu,Martín Navarrete,played,2.0,1.0,1988-1989,2.4,1.0,0.6153846153846154,2.0,1.0,0.5384615384615384,win,
Osasuna,Elche,1988-12-04,,El Sadar,Sánchez Moreno,played,1.0,1.0,1988-1989,1.0,0.6,0.3846153846153846,0.4,1.4,0.1538461538461538,draw,
Barcelona,Logroñés,1988-12-04,,Nou Camp,Benavente Garasa,played,2.0,1.0,1988-1989,1.8,0.4,0.6923076923076923,0.6,0.8,0.3076923076923077,win,
Zaragoza,Sevilla,1988-12-04,,La Romareda,Peraita Ibáñez,played,0.0,0.0,1988-1989,1.0,1.0,0.2307692307692307,1.4,0.4,0.4615384615384615,draw,
Sporting Gijón,Espanyol,1988-12-04,,El Molinón,Urío Velázquez,played,2.0,1.0,1988-1989,1.0,0.4,0.3846153846153846,0.8,1.2,0.1538461538461538,win,
Real Sociedad,Málaga,1988-12-04,,Atocha,Vico Díaz,played,2.0,2.0,1988-1989,0.8,1.2,0.3333333333333333,0.8,0.4,0.3076923076923077,draw,
Valladolid,Athletic Club,1988-12-04,,Nuevo Zorrilla,Pes Pérez,played,1.0,0.0,1988-1989,0.6,0.8,0.3846153846153846,1.2,2.0,0.3076923076923077,win,
Real Murcia,Celta Vigo,1988-12-04,,La Condomina,Ramos Marcos,played,1.0,2.0,1988-1989,0.8,2.2,0.3076923076923077,0.6,1.6,0.4166666666666667,loss,
Valencia,Oviedo,1988-12-04,,Luis Casanova,Socorro González,played,0.0,1.0,1988-1989,0.8,1.0,0.4615384615384615,1.2,0.8,0.3076923076923077,loss,
Real Betis,Cádiz,1988-12-04,,Benito Villamarín,Calvo Córdova,played,1.0,1.0,1988-1989,0.8,2.0,0.1538461538461538,1.2,1.0,0.2307692307692307,draw,
Athletic Club,Barcelona,1988-12-10,,San Mamés,Sánchez Arminio,played,3.0,2.0,1988-1989,1.0,1.4,0.2857142857142857,2.0,0.6,0.7142857142857143,win,
Logroñés,Real Murcia,1988-12-11,,Las Gaunas,Paz García,played,0.0,0.0,1988-1989,0.6,1.0,0.2857142857142857,1.0,2.0,0.2857142857142857,draw,
Espanyol,Real Sociedad,1988-12-11,,Sarriá,Andújar Oliver,played,1.0,1.0,1988-1989,1.0,1.4,0.1428571428571428,1.0,1.4,0.3076923076923077,draw,
Oviedo,Celta Vigo,1988-12-11,,Carlos Tartiere,Brito Arceo,played,4.0,0.0,1988-1989,1.4,0.6,0.3571428571428571,1.0,1.8,0.4615384615384615,win,
Málaga,Real Betis,1988-12-11,,La Rosaleda,Enríquez Negreira,played,2.0,2.0,1988-1989,1.0,0.8,0.2857142857142857,1.0,2.2,0.1428571428571428,draw,
Atlético Madrid,Zaragoza,1988-12-11,,Vicente Calderón,López Nieto,played,3.0,1.0,1988-1989,1.8,1.4,0.5,1.0,0.8,0.2142857142857142,win,
Cádiz,Real Madrid,1988-12-11,,Ramón de Carranza,Marín López,played,0.0,2.0,1988-1989,1.0,1.0,0.2142857142857142,2.2,1.2,0.6428571428571429,loss,
Sevilla,Valladolid,1988-12-11,,Ramón Sánchez Pizjuán,Taboada Soto,played,2.0,4.0,1988-1989,1.2,0.4,0.4285714285714285,0.6,0.8,0.4285714285714285,loss,
Valencia,Osasuna,1988-12-11,,Luis Casanova,Albert Giménez,played,3.0,2.0,1988-1989,0.8,0.8,0.4285714285714285,1.2,0.6,0.3571428571428571,win,
Elche,Sporting Gijón,1988-12-11,,Manuel Martinez Valero,Sánchez Molina Soto,played,0.0,0.0,1988-1989,0.4,1.2,0.1428571428571428,0.6,0.4,0.4285714285714285,draw,
Athletic Club,Celta Vigo,1988-12-31,,San Mamés,Calvo Córdova,played,2.0,0.0,1988-1989,1.6,1.6,0.3333333333333333,0.8,1.8,0.4285714285714285,win,
Espanyol,Real Madrid,1988-12-31,,Sarriá,Peraita Ibáñez,played,1.0,4.0,1988-1989,1.0,1.2,0.1333333333333333,1.8,1.0,0.6666666666666666,loss,
Sevilla,Real Murcia,1988-12-31,,Ramón Sánchez Pizjuán,Díaz Agüero,played,3.0,0.0,1988-1989,1.6,1.2,0.4,0.8,1.6,0.2666666666666666,win,
Oviedo,Logroñés,1988-12-31,,Carlos Tartiere,Vico Díaz,played,1.0,1.0,1988-1989,1.8,0.4,0.4,0.6,1.0,0.2666666666666666,draw,
Osasuna,Sporting Gijón,1988-12-31,,El Sadar,Alfonso Álvarez,played,0.0,0.0,1988-1989,1.2,1.2,0.3333333333333333,0.6,0.4,0.4,draw,
Málaga,Zaragoza,1988-12-31,,La Rosaleda,Ansuategui Roca,played,1.0,3.0,1988-1989,1.0,1.2,0.2666666666666666,0.8,1.2,0.2,loss,
Valencia,Real Sociedad,1989-01-01,,Luis Casanova,Sánchez Molina Soto,played,1.0,0.0,1988-1989,1.2,0.8,0.4666666666666667,1.0,1.6,0.2857142857142857,win,
Elche,Real Betis,1989-01-01,,Manuel Martinez Valero,Pes Pérez,played,0.0,0.0,1988-1989,0.4,0.8,0.1333333333333333,1.4,2.6,0.1333333333333333,draw,
Atlético Madrid,Barcelona,1989-01-01,,Vicente Calderón,Ramos Marcos,played,1.0,3.0,1988-1989,2.4,1.2,0.5333333333333333,2.4,1.2,0.6666666666666666,loss,
